----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
13-05 23:41:48|                   |1830M 3449M 4404k 2538M|           
13-05 23:41:49|  7   2  90   0   0|1831M 3448M 4404k 2538M|   0     0 
13-05 23:41:50| 11   4  84   0   0|1839M 3440M 4404k 2546M|   0     0 
13-05 23:41:51|  4   1  93   0   0|1839M 3440M 4404k 2546M|   0  5118B
13-05 23:41:52|  4   1  95   0   0|1839M 3439M 4404k 2546M|   0     0 
13-05 23:41:53|  4   1  94   0   0|1839M 3439M 4404k 2546M|   0     0 
13-05 23:41:54|  5   2  92   0   0|1839M 3439M 4404k 2546M|   0     0 
13-05 23:41:55| 20   3  76   0   0|1896M 3383M 4404k 2554M|   0     0 
13-05 23:41:56| 37   2  62   0   0|1973M 3306M 4404k 2554M|   0     0 
13-05 23:41:57| 51   2  46   0   0|1996M 3283M 4404k 2546M|   0     0 
13-05 23:41:58| 73   2  23   0   0|2129M 3150M 4404k 2546M|   0     0 
13-05 23:41:59| 49   2  49   0   0|2201M 3078M 4404k 2546M|   0   112k
13-05 23:42:00| 61   1  37   0   0|2225M 3053M 4404k 2546M|   0     0 
13-05 23:42:01| 67   1  27   4   0|2248M 3031M 4404k 2538M|   0   395k
13-05 23:42:02| 63   2  31   4   0|2285M 2993M 4404k 2538M|   0   718k
13-05 23:42:03| 89   3   9   0   0|2306M 2971M 4404k 2542M|1308k    0 
13-05 23:42:04| 96   2   1   0   0|2378M 2899M 4404k 2542M|   0     0 
13-05 23:42:05| 96   3   1   0   0|2472M 2805M 4404k 2549M|   0     0 
13-05 23:42:06| 96   2   1   0   0|2475M 2800M 4404k 2550M| 644k    0 
13-05 23:42:07| 97   2   1   0   0|2471M 2803M 4404k 2540M|1572k   28k
13-05 23:42:08| 96   3   1   0   0|2486M 2779M 4404k 2550M|9255k   46k
13-05 23:42:09| 98   1   1   0   0|2490M 2774M 4404k 2556M|  12k  119k
13-05 23:42:10| 99   0   1   0   0|2487M 2777M 4404k 2551M|4096B    0 
13-05 23:42:11|100   1   0   0   0|2487M 2776M 4404k 2551M|   0     0 
