----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
22-03 10:54:16|                   |1249M 5607M 4324k  969M|           
22-03 10:54:17| 14  12  74   0   0|1249M 5607M 4324k  969M|   0     0 
22-03 10:54:18| 16  13  71   0   0|1234M 5623M 4324k  953M|  32k    0 
22-03 10:54:19| 10   6  84   0   0|1234M 5622M 4324k  953M|   0     0 
22-03 10:54:20| 14  13  74   0   0|1234M 5623M 4324k  953M|   0     0 
22-03 10:54:21| 13  13  73   0   0|1235M 5622M 4324k  953M|   0   232k
22-03 10:54:22| 21  14  64   0   0|1239M 5618M 4324k  958M|   0     0 
22-03 10:54:23| 13  14  73   0   0|1238M 5619M 4324k  958M|   0     0 
22-03 10:54:24| 15  13  72   0   0|1231M 5626M 4324k  958M|   0    17k
22-03 10:54:25| 27   7  57   8   0|1239M 5617M 4324k  958M|8191B 4096B
22-03 10:54:26| 10   5  80   4   0|1240M 5599M 4324k  975M|  17M 4092B
22-03 10:54:27| 23  10  66   1   0|1236M 5577M 4324k  996M|  26M    0 
22-03 10:54:28| 46  13  41   2   0|1294M 5500M 4324k 1014M|  18M  138k
22-03 10:54:29| 54  13  31   1   0|1340M 5447M 4324k 1022M|8275k    0 
22-03 10:54:30| 57  13  29   1   0|1409M 5368M 4324k 1031M|8940k   76k
22-03 10:54:31| 78  11   8   2   0|1483M 5288M 4324k 1038M|6716k 4514k
22-03 10:54:32| 53  13  32   1   0|1513M 5248M 4324k 1048M|  10M 5308k
22-03 10:54:33| 59  13  27   0   0|1595M 5163M 4324k 1050M|2224k    0 
22-03 10:54:34| 66  13  20   1   0|1629M 5124M 4324k 1055M|5036k    0 
22-03 10:54:35| 60  12  27   1   0|1641M 5104M 4324k 1064M|8668k    0 
22-03 10:54:36| 31  13  54   3   0|1646M 5096M 4324k 1066M|2728k  339k
22-03 10:54:37| 63   7  27   2   0|1703M 5038M 4324k 1067M|1224k   42k
22-03 10:54:38| 73  14  13   0   0|1712M 5026M 4324k 1070M|3036k 1608k
22-03 10:54:39| 63  15  21   0   0|1738M 4995M 4324k 1075M|4932k    0 
22-03 10:54:40| 74  15  11   0   0|1767M 4962M 4324k 1079M|3780k 1454k
22-03 10:54:41| 65  14  20   1   0|1884M 4843M 4324k 1081M|1940k    0 
