----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
03-03 16:37:45|                   | 848M 6247M 4236k  716M|           
03-03 16:37:46|  4   2  93   0   0| 841M 6254M 4236k  708M|   0     0 
03-03 16:37:47|  5   3  92   0   0| 841M 6254M 4236k  708M|   0     0 
03-03 16:37:48|  9   4  85   2   0| 847M 6226M 4236k  730M|  22M    0 
03-03 16:37:49| 13   9  76   1   0| 881M 6169M 4236k  753M|  24M   21k
03-03 16:37:50| 21   8  66   4   0| 933M 6076M 4236k  817M|  40M   13k
03-03 16:37:51| 14   5  80   0   0|1000M 6000M 4236k  826M|  11M    0 
03-03 16:37:52| 15   1  78   5   0|1022M 5975M 4236k  828M|2124k    0 
03-03 16:37:53| 11   2  79   7   0|1037M 5958M 4236k  831M|2871k    0 
03-03 16:37:54| 13   2  77   7   0|1059M 5934M 4236k  832M|2084k    0 
03-03 16:37:55| 20   9  65   6   0|1113M 5877M 4236k  835M|3031k 1987k
03-03 16:37:56| 23   5  65   6   0|1134M 5854M 4236k  830M|2373k  219k
03-03 16:37:57| 13   2  84   0   0|1114M 5871M 4236k  831M|2076k   17k
03-03 16:37:58|  9   2  89   0   0|1114M 5871M 4236k  831M|   0     0 
03-03 16:37:59|  9   2  87   0   0|1114M 5872M 4236k  831M|   0  9213B
03-03 16:38:00| 10   2  87   0   0|1114M 5871M 4236k  831M|4097B 4097B
03-03 16:38:01|  7   2  88   0   0|1117M 5868M 4236k  835M|   0     0 
03-03 16:38:02| 10   4  82   4   0|1123M 5860M 4236k  840M|2132k    0 
03-03 16:38:03|  7   2  90   0   0|1122M 5861M 4236k  840M|  32k    0 
03-03 16:38:04|  5   1  93   0   0|1122M 5861M 4236k  839M|   0     0 
03-03 16:38:05|  4   1  94   0   0|1122M 5861M 4236k  839M|   0     0 
03-03 16:38:06|  4   2  94   0   0|1122M 5861M 4236k  839M|   0   531k
03-03 16:38:07|  3   1  94   0   0|1122M 5861M 4236k  839M|   0  1065k
03-03 16:38:08| 22   5  72   0   0|1176M 5806M 4236k  836M| 807k   48k
03-03 16:38:09| 28   1  71   0   0|1214M 5768M 4236k  835M|   0  7925k
03-03 16:38:10| 15   2  73  11   0|1216M 5762M 4236k  839M|4452k    0 
03-03 16:38:11| 15   2  74   8   0|1219M 5755M 4236k  843M|4520k 4100B
03-03 16:38:12| 17   2  76   5   0|1123M 5849M 4236k  844M|1551k   17k
03-03 16:38:13|  5   2  93   0   0|1123M 5849M 4236k  844M|   0   167k
03-03 16:38:14|  6   1  92   0   0|1123M 5849M 4236k  844M|   0     0 
03-03 16:38:15|  9   2  88   0   0|1123M 5849M 4236k  844M|   0     0 
03-03 16:38:16|  7   2  90   0   0|1123M 5849M 4236k  844M|   0  5119B
03-03 16:38:17| 10   3  87   0   0|1123M 5849M 4236k  844M|   0     0 
03-03 16:38:18| 11   3  86   0   0|1123M 5849M 4236k  844M|   0     0 
03-03 16:38:19|  7   1  90   0   0|1123M 5848M 4236k  844M|   0   232k
03-03 16:38:20|  2   1  97   0   0|1123M 5849M 4236k  844M|   0     0 
03-03 16:38:21|  3   1  94   0   0|1124M 5848M 4236k  844M|  12k   17k
03-03 16:38:22| 10   3  86   0   0|1124M 5847M 4236k  844M|   0     0 
03-03 16:38:23|  5   1  92   0   0|1124M 5847M 4236k  844M|   0     0 
03-03 16:38:24|  3   1  96   0   0|1124M 5848M 4236k  844M|4095B   50k
03-03 16:38:25|  2   1  97   0   0|1124M 5847M 4236k  844M|   0     0 
03-03 16:38:26|  7   2  91   0   0|1124M 5847M 4236k  844M|   0  5121B
03-03 16:38:27|  9   2  89   0   0|1126M 5846M 4236k  844M|4097B    0 
03-03 16:38:28|  6   2  92   0   0|1126M 5846M 4236k  844M|   0     0 
03-03 16:38:29|  2   0  97   0   0|1126M 5846M 4236k  844M|   0     0 
03-03 16:38:30|  5   1  94   0   0|1126M 5846M 4236k  844M|   0     0 
03-03 16:38:31|  7   2  91   0   0|1126M 5846M 4236k  844M|4090B   16k
03-03 16:38:32| 13   4  83   0   0|1130M 5842M 4236k  849M|   0     0 
03-03 16:38:33| 14   6  79   0   0|1132M 5839M 4236k  851M|   0     0 
03-03 16:38:34|  5   3  91   0   0|1132M 5839M 4236k  851M|   0     0 
03-03 16:38:35|  3   1  96   0   0|1132M 5839M 4236k  851M|   0     0 
03-03 16:38:36| 15   4  80   0   0|1130M 5842M 4236k  846M|8193B  222k
03-03 16:38:37|  9   2  87   0   0|1131M 5841M 4236k  845M|   0  3118k
03-03 16:38:38|  8   3  90   0   0|1132M 5839M 4236k  845M|   0     0 
03-03 16:38:39| 13   3  83   0   0|1135M 5837M 4236k  846M|   0    17k
03-03 16:38:40|  8   2  89   0   0|1136M 5836M 4236k  846M|   0     0 
03-03 16:38:41|  9   2  89   0   0|1135M 5836M 4236k  845M|  32k 4098B
03-03 16:38:42|  7   2  92   0   0|1135M 5836M 4236k  845M|   0    17k
03-03 16:38:43|  7   1  91   0   0|1136M 5836M 4236k  845M|4101B   40k
03-03 16:38:44|  8   2  90   0   0|1136M 5836M 4236k  845M|   0    71k
03-03 16:38:45|  8   3  88   0   0|1134M 5838M 4236k  845M|   0    16k
03-03 16:38:46| 10   2  88   0   0|1135M 5837M 4236k  845M|   0     0 
03-03 16:38:47|  9   3  88   0   0|1135M 5837M 4236k  845M|   0  9215B
03-03 16:38:48|  7   3  89   0   0|1135M 5837M 4236k  845M|   0     0 
03-03 16:38:49| 10   3  88   0   0|1135M 5836M 4236k  846M|  32k   16k
03-03 16:38:50| 10   2  87   0   0|1136M 5836M 4236k  846M|   0     0 
03-03 16:38:51|  5   1  93   0   0|1136M 5836M 4236k  845M|   0     0 
03-03 16:38:52|  7   2  90   0   0|1136M 5836M 4236k  846M|   0    69k
03-03 16:38:53|  8   2  89   0   0|1137M 5835M 4236k  846M|   0    41k
03-03 16:38:54|  7   2  91   0   0|1137M 5835M 4236k  845M|   0     0 
03-03 16:38:55|  8   1  90   0   0|1137M 5835M 4236k  845M|   0     0 
03-03 16:38:56| 10   3  87   0   0|1137M 5835M 4236k  846M|   0     0 
03-03 16:38:57|  6   1  91   0   0|1137M 5834M 4236k  846M|  20k   16k
03-03 16:38:58|  3   1  96   0   0|1137M 5834M 4236k  846M|   0     0 
03-03 16:38:59|  4   0  95   0   0|1129M 5843M 4236k  846M|   0     0 
03-03 16:39:00|  2   1  97   0   0|1129M 5843M 4236k  846M|   0     0 
03-03 16:39:01|  3   0  96   0   0|1129M 5843M 4236k  846M|   0     0 
03-03 16:39:02|  8   2  90   0   0|1133M 5839M 4236k  846M|8214B   53k
03-03 16:39:03| 21   4  70   5   0|1132M 5823M 4236k  864M|  17M    0 
03-03 16:39:04|  7   1  89   0   0|1132M 5823M 4236k  865M| 360k    0 
03-03 16:39:05| 21   5  75   2   0|1156M 5764M 4236k  899M|  35M    0 
03-03 16:39:06| 28   2  68   1   0|1199M 5710M 4236k  909M|  11M  237k
03-03 16:39:07| 38   2  58   2   0|1217M 5685M 4236k  916M|6652k 5105B
03-03 16:39:08| 50   2  45   2   0|1261M 5632M 4236k  925M|8729k  511k
03-03 16:39:09| 68   2  28   2   0|1322M 5563M 4236k  931M|9041k   24k
03-03 16:39:10| 37   2  58   2   0|1372M 5504M 4236k  941M|9543k    0 
03-03 16:39:11| 45   1  52   1   0|1407M 5465M 4236k  945M|3745k    0 
03-03 16:39:12| 55   1  42   1   0|1434M 5431M 4236k  951M|6616k    0 
03-03 16:39:13| 56   2  40   1   0|1472M 5388M 4236k  956M|5210k   32k
03-03 16:39:14| 22   1  75   2   0|1476M 5382M 4236k  958M|2021k  229k
03-03 16:39:15| 55   1  43   0   0|1510M 5347M 4236k  959M|1300k   34k
03-03 16:39:16| 63   2  34   0   0|1523M 5330M 4236k  962M|3160k    0 
03-03 16:39:17| 51   1  46   0   0|1561M 5287M 4236k  968M|5620k    0 
03-03 16:39:18| 80   2  17   0   0|1621M 5224M 4236k  971M|3320k    0 
03-03 16:39:19| 64   1  32   3   0|1646M 5198M 4236k  973M|1360k    0 
03-03 16:39:20| 92   2   2   4   0|1762M 5052M 4236k 1002M|  30M    0 
03-03 16:39:21| 96   3   1   1   0|1944M 4826M 4236k 1046M|  44M 4096B
03-03 16:39:22| 95   2   1   2   0|2041M 4685M 4236k 1091M|  45M 5120B
03-03 16:39:23| 42   1  23  34   0|2120M 4578M 4236k 1118M|  26M    0 
