----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
21-03 14:00:37|                   |2759M 3879M 2292k 1465M|           
21-03 14:00:38|  8   2  89   0   0|2742M 3895M 2292k 1449M|   0  8174B
21-03 14:00:39|  9   3  89   0   0|2742M 3896M 2292k 1449M|   0     0 
21-03 14:00:40| 16   5  79   0   0|2735M 3903M 2292k 1441M|   0   141k
21-03 14:00:41| 17   5  75   0   0|2739M 3899M 2292k 1446M|   0     0 
21-03 14:00:42| 15   5  73   5   0|2746M 3890M 2292k 1453M|1899k    0 
21-03 14:00:43| 13   2  83   0   0|2746M 3890M 2292k 1453M|   0     0 
21-03 14:00:44| 35  14  38  11   0|1250M 5384M 2292k 1189M|2803k  410k
21-03 14:00:45| 16   8  63  11   0|1155M 5485M 2292k 1184M|1985k  619k
21-03 14:00:46| 11   4  74   9   0| 961M 5677M 2292k 1175M|2368k    0 
21-03 14:00:47|  5   1  93   0   0| 960M 5678M 2292k 1175M|  12k 1024B
21-03 14:00:48| 22   3  74   0   0| 978M 5660M 2292k 1175M|  32k    0 
21-03 14:00:49| 11   2  85   0   0| 972M 5666M 2292k 1175M|   0     0 
21-03 14:00:50| 34   3  62   0   0|1040M 5598M 2292k 1175M|   0     0 
21-03 14:00:51| 45   2  53   0   0|1091M 5548M 2292k 1175M|   0     0 
21-03 14:00:52| 57   2  40   0   0|1179M 5459M 2292k 1175M|   0  4094B
21-03 14:00:53| 72   2  25   0   0|1266M 5373M 2292k 1175M|   0   151k
21-03 14:00:54| 43   2  55   0   0|1361M 5277M 2292k 1175M|   0    61k
21-03 14:00:55| 54   2  43   0   0|1400M 5238M 2292k 1175M|   0     0 
21-03 14:00:56| 53   1  46   0   0|1413M 5225M 2292k 1175M|   0    64k
21-03 14:00:57| 17   2  79   1   0|1417M 5221M 2292k 1175M|   0   263k
21-03 14:00:58| 62   2  37   1   0|1462M 5176M 2292k 1175M|   0    42k
21-03 14:00:59| 66   2  33   0   0|1487M 5151M 2292k 1175M|   0     0 
21-03 14:01:00| 64   2  34   0   0|1517M 5121M 2292k 1175M|   0     0 
21-03 14:01:01| 77   2  20   0   0|1589M 5049M 2292k 1175M| 212k    0 
21-03 14:01:02| 84   2  14   0   0|1649M 4988M 2292k 1175M|   0  1277k
21-03 14:01:03| 96   2   1   0   0|1825M 4813M 2292k 1175M|   0   706k
21-03 14:01:04| 97   3   1   0   0|2003M 4634M 2292k 1175M|   0  7908k
21-03 14:01:05| 74   3   1  23   0|2162M 4460M 2292k 1191M|  16M    0 
21-03 14:01:06| 97   2   0   0   0|2240M 4340M 2292k 1232M|  42M    0 
21-03 14:01:07| 97   3   1   0   0|2378M 4160M 2292k 1274M|  42M    0 
21-03 14:01:08| 97   2   0   1   0|2444M 4051M 2292k 1318M|  43M    0 
21-03 14:01:09| 95   2   1   2   0|2515M 3937M 2292k 1360M|  42M    0 
21-03 14:01:10| 35   1   6  58   0|2572M 3857M 2292k 1384M|  24M    0 
21-03 14:01:11| 33   1   3  63   0|2575M 3831M 2292k 1406M|  22M 1024B
21-03 14:01:12| 31   0  10  58   0|2626M 3759M 2292k 1427M|  21M 8191B
21-03 14:01:13| 28   1  30  40   0|2653M 3712M 2292k 1448M|  21M    0 
21-03 14:01:14| 28   1  23  48   0|2660M 3684M 2292k 1468M|  20M    0 
21-03 14:01:15| 90   2   1   7   0|2661M 3643M 2292k 1508M|  41M  244k
21-03 14:01:16| 98   1   0   1   0|2663M 3598M 2292k 1551M|  43M  260k
21-03 14:01:17| 96   1   1   0   0|2667M 3557M 2292k 1588M|  37M    0 
21-03 14:01:18| 96   2   1   3   0|2668M 3514M 2292k 1630M|  41M    0 
21-03 14:01:19| 95   1   1   3   0|2673M 3475M 2292k 1664M|  34M    0 
21-03 14:01:20| 99   1   0   0   0|2676M 3438M 2292k 1698M|  34M  312k
21-03 14:01:21| 97   1   1   2   0|2676M 3399M 2292k 1738M|  40M 1024B
21-03 14:01:22| 96   1   0   2   0|2676M 3356M 2292k 1780M|  42M 4096B
21-03 14:01:23| 97   2   0   1   0|2677M 3313M 2292k 1822M|  42M    0 
21-03 14:01:24| 97   1   1   1   0|2679M 3271M 2292k 1862M|  40M  412k
21-03 14:01:25| 97   2   0   1   0|2670M 3246M 2292k 1895M|  33M   44k
21-03 14:01:26| 99   2   1   0   0|2670M 3211M 2292k 1930M|  35M 1024B
21-03 14:01:27| 98   1   1   0   0|2670M 3177M 2292k 1964M|  34M 1024B
21-03 14:01:28| 97   1   0   1   0|2670M 3136M 2292k 2005M|  41M    0 
21-03 14:01:29| 98   2   0   0   0|2656M 3107M 2292k 2048M|  43M    0 
21-03 14:01:30| 95   1   1   1   0|2657M 3066M 2292k 2089M|  41M    0 
21-03 14:01:31| 98   1   1   0   0|2653M 3033M 2292k 2125M|  36M    0 
21-03 14:01:32| 97   1   0   1   0|2655M 2996M 2292k 2160M|  35M  364k
21-03 14:01:33| 96   2   1   3   0|2651M 2965M 2292k 2196M|  35M  561k
21-03 14:01:34| 98   1   1   0   0|2651M 2928M 2292k 2232M|  36M    0 
21-03 14:01:35| 97   2   0   1   0|2650M 2885M 2292k 2276M|  44M 8196B
21-03 14:01:36| 97   1   1   1   0|2650M 2841M 2292k 2320M|  44M    0 
21-03 14:01:37| 98   1   1   1   0|2649M 2803M 2292k 2358M|  38M    0 
21-03 14:01:38| 98   1   0   0   0|2651M 2766M 2292k 2394M|  36M    0 
21-03 14:01:39| 98   1   1   0   0|2651M 2729M 2292k 2430M|  36M    0 
21-03 14:01:40| 98   1   0   0   0|2652M 2690M 2292k 2469M|  38M    0 
21-03 14:01:41| 97   1   1   1   0|2651M 2646M 2292k 2513M|  45M    0 
21-03 14:01:42| 45   1   4  52   0|2651M 2619M 2292k 2540M|  26M 9217B
21-03 14:01:43| 28   0  25  45   0|2652M 2596M 2292k 2562M|  22M    0 
21-03 14:01:44| 39   1  10  50   0|2651M 2577M 2292k 2582M|  21M    0 
21-03 14:01:45| 96   1   1   2   0|2651M 2541M 2292k 2617M|  35M    0 
21-03 14:01:46| 86   1   1  12   0|2652M 2513M 2292k 2645M|  28M    0 
21-03 14:01:47| 54   1   8  38   0|2652M 2485M 2292k 2673M|  27M    0 
21-03 14:01:48| 87   1   4   9   0|2653M 2445M 2292k 2713M|  41M    0 
21-03 14:01:49| 94   1   1   4   0|2652M 2401M 2292k 2756M|  44M    0 
21-03 14:01:50| 98   1   0   0   0|2653M 2356M 2292k 2801M|  44M    0 
21-03 14:01:51| 98   1   1   0   0|2652M 2320M 2292k 2837M|  36M    0 
21-03 14:01:52| 98   1   0   0   0|2653M 2283M 2292k 2873M|  36M    0 
21-03 14:01:53| 97   2   1   1   0|2654M 2247M 2292k 2909M|  36M    0 
21-03 14:01:54| 98   2   0   1   0|2654M 2211M 2292k 2945M|  36M    0 
21-03 14:01:55| 98   1   0   0   0|2653M 2175M 2292k 2981M|  36M   74k
21-03 14:01:56| 98   1   0   1   0|2654M 2138M 2292k 3017M|  36M    0 
21-03 14:01:57| 97   1   1   0   0|2654M 2101M 2292k 3054M|  37M    0 
21-03 14:01:58| 98   1   0   1   0|2654M 2057M 2292k 3099M|  45M    0 
21-03 14:01:59| 98   1   1   1   0|2653M 2013M 2292k 3142M|  44M    0 
21-03 14:02:00| 98   1   0   0   0|2654M 1976M 2292k 3179M|  37M    0 
21-03 14:02:01| 98   1   0   0   0|2654M 1939M 2292k 3215M|  36M   72k
21-03 14:02:02| 96   2   2   0   0|2653M 1904M 2292k 3251M|  36M 1024B
21-03 14:02:03| 95   1   1   2   0|2653M 1865M 2292k 3290M|  39M  449k
21-03 14:02:04| 98   1   0   1   0|2653M 1820M 2292k 3335M|  45M    0 
