"Point.Forecast" "Lo.95" "Hi.95"
"22.87500" 3104.75526040221 203.578559451719 6005.9319613527
"22.91667" 2645.01897017699 -1202.36761448817 6492.40555484216
"22.95833" 1627.44316452671 -2975.59287851977 6230.4792075732
"23.00000" 793.005389177187 -4458.04194400393 6044.0527223583
"23.04167" -569.658526037712 -6397.09839076665 5257.78133869123
"23.08333" -1690.70155067855 -8042.44246626661 4661.03936490952
"23.12500" -2338.18977421057 -9174.13666842202 4497.75712000087
"23.16667" -2675.59346729456 -9963.64720078217 4612.46026619304
"23.20833" -2563.55560305587 -10277.2631749 5150.15196878831
"23.25000" -1995.00075081266 -10112.0717610755 6122.07025945019
"23.29167" -1942.60075576766 -10443.9182458614 6558.71673432604
"23.33333" -788.2997013777 -9657.23178754775 8080.63238479235
"23.37500" -843.593814463723 -10065.4978277801 8378.31019885263
"23.41667" -1919.10134686332 -11480.9563401449 7642.75364641825
"23.45833" -2174.10910162849 -12064.2369164885 7716.0187132315
"23.50000" -1756.3591846859 -11964.208393799 8451.49002442719
"23.54167" -1967.18578542362 -12483.1613824719 8548.78981162463
"23.58333" -674.456339476319 -11489.7834283552 10140.8707494026
"23.62500" -190.580117333177 -11297.1933419468 10916.0331072804
"23.66667" 432.079597027148 -10958.3731860226 11822.5323800769
"23.70833" 600.900652622026 -11066.4885962463 12268.2899014904
"23.75000" 942.251397841612 -10995.6516494415 12880.1544451247
"23.79167" 787.075452585095 -11415.3458828735 12989.4967880437
"23.83333" 2406.8739729981 -10054.4519488201 14868.1998948163
"23.87500" 1430.46722748727 -11364.1202992725 14225.054754247
"23.91667" 970.730937262053 -12071.0107892728 14012.4726637969
"23.95833" -46.8448683882229 -13331.1432895832 13237.4535528068
"24.00000" -881.282643737751 -14403.7876566814 12641.2223692059
"24.04167" -2243.94655895265 -16000.5340393858 11512.6409214805
"24.08333" -3364.98958359348 -17351.7424729719 10621.7633057849
"24.12500" -4012.47780712551 -18225.6693442243 10200.7137299733
"24.16667" -4349.8815002095 -18785.9602943967 10086.1972939777
