"Point.Forecast" "Lo.95" "Hi.95"
"26.87500" 1491.01240687497 -1033.02943726817 4015.05425101811
"26.91667" 137.641619907306 -3096.75801305134 3372.04125286595
"26.95833" 426.77463520971 -3041.52098133552 3895.07025175494
"27.00000" 524.645248276598 -3029.21453705381 4078.50503360701
"27.04167" 1356.30823618736 -2229.80350273513 4942.41997510984
"27.08333" 1733.98863786809 -1864.4072657018 5332.38454143798
"27.12500" 744.500461124471 -2858.59233353859 4347.59325578753
"27.16667" 1098.10197230853 -2506.78931674963 4702.99326136668
"27.20833" 4122.87282872983 517.29249184155 7728.4531656181
"27.25000" 3005.35532623598 -600.489058177358 6611.19971064933
"27.29167" 2406.76897909313 -1199.17659826625 6012.7145564525
"27.33333" 1776.1490388447 -1829.83532067027 5382.13339835967
"27.37500" 2479.80496470912 -1126.1942582292 6085.80418764744
"27.41667" 2240.892173453 -1365.11274598062 5846.89709288663
"27.45833" 1868.75107927229 -1737.25602338084 5474.75818192542
"27.50000" 2238.14095603662 -1367.86698335039 5844.14889542364
"27.54167" 2024.50870703554 -1581.49955303557 5630.51696710665
"27.58333" 1910.81437192285 -1695.19401105268 5516.82275489839
"27.62500" 1967.63934917665 -1638.36908090287 5573.64777925617
"27.66667" 3026.47538168212 -579.533066450336 6632.48382981457
"27.70833" 4190.96980166415 584.961346612781 7796.97825671552
"27.75000" 4376.36708108125 770.358623378158 7982.37553878434
"27.79167" 3565.24274201515 -40.7657167042335 7171.25120073453
"27.83333" 2665.25106643824 -940.757392670639 6271.25952554713
"27.87500" 2612.63124055361 -1092.85449955413 6318.11698066135
"27.91667" 926.467473900484 -2841.50528746879 4694.44023526976
"27.95833" 854.30076709358 -2937.3476247048 4645.94915889196
"28.00000" 714.585642168003 -3086.09750822788 4515.26879256388
"28.04167" 1796.15092030654 -2007.98917713492 5600.29101774801
"28.08333" 2033.19930406075 -1772.26486023422 5838.66346835571
"28.12500" 813.080045501437 -2992.89145462771 4619.05154563058
"28.16667" 1177.78763062477 -2628.37829160596 4983.95355285549
"28.20833" 4270.02512043566 463.784687199442 8076.26555367188
"28.25000" 3584.26711453523 -222.001875181297 7390.53610425175
"28.29167" 2776.55512114353 -1029.72481298813 6582.8350552752
"28.33333" 2121.96689902251 -1684.3172296249 5928.25102766991
"28.37500" 2937.65781296051 -868.627923263334 6743.94354918435
"28.41667" 2708.64383612237 -1097.64251621627 6514.93018846101
"28.45833" 2237.27643782454 -1569.0101506444 6043.56302629348
"28.50000" 2621.29483399575 -1184.99184497178 6427.58151296329
"28.54167" 2508.66330247316 -1297.62341117859 6314.95001612492
"28.58333" 2200.60327440604 -1605.68345253869 6006.89000135078
"28.62500" 2336.341378331 -1469.94535370835 6142.62811037036
"28.66667" 3436.08405674976 -370.202677242144 7242.37079074167
"28.70833" 4399.41120954828 593.124474808045 8205.69794428852
"28.75000" 4423.67328624937 617.386551222335 8229.96002127641
"28.79167" 3528.31648823767 -277.970246899291 7334.60322337462
"28.83333" 2051.53569526268 -1754.7510399164 5857.82243044177
"28.87500" 2157.52671525964 -1808.31239161713 6123.36582213641
"28.91667" 595.519259686957 -3469.46467626788 4660.5031956418
"28.95833" 820.828852536059 -3281.5179437344 4923.17564880652
"29.00000" 745.451316809694 -3371.12517034827 4862.02780396766
"29.04167" 2079.70607938184 -2042.31101592127 6201.72317468496
"29.08333" 2323.32184235079 -1800.77850177413 6447.42218647571
"29.12500" 851.748663057071 -3273.14982194226 4976.64714805641
"29.16667" 1083.39606861783 -3041.80826855218 5208.60040578785
"29.20833" 4290.23842242676 164.91687127181 8415.5599735817
"29.25000" 3510.37306059386 -614.993412762456 7635.73953395018
"29.29167" 3160.71368732596 -964.670002650341 7286.09737730226
"29.33333" 2564.39557884125 -1560.9947095067 6689.78586718921
"29.37500" 2706.7753098517 -1418.61750736581 6832.1681270692
"29.41667" 2046.04552954681 -2079.34825687733 6171.43931597095
"29.45833" 1589.41116201778 -2535.98299586156 5714.80531989711
"29.50000" 1881.05095560367 -2244.34334463847 6006.44525584582
"29.54167" 1840.85693156336 -2284.53742324033 5966.25128636705
"29.58333" 1525.09460801936 -2600.29976769543 5650.48898373414
"29.62500" 1767.88561511298 -2357.50876861613 5893.27999884209
"29.66667" 2959.43158212477 -1165.96280467588 7084.82596892543
"29.70833" 3900.28387786596 -225.110510111893 8025.67826584381
"29.75000" 3199.41890575301 -925.97548267601 7324.81329418202
"29.79167" 2492.19462826438 -1633.19976033755 6617.58901686631
"29.83333" 1889.7275150004 -2235.6668736678 6015.1219036686
"x"
"1" "======"
"Point.Forecast" "Lo.95" "Hi.95"
"26.87500" 435.966614854299 -119.754048062316 991.687277770914
"26.91667" 144.476164929191 -524.411528831476 813.363858689858
"26.95833" 395.330768523925 -311.014773588416 1101.67631063627
"27.00000" 242.354340620114 -480.383124244098 965.091805484326
"27.04167" 344.22880326847 -378.508661595742 1066.96626813268
"27.08333" 535.999396995698 -186.738067868514 1258.73686185991
"27.12500" 144.460300392222 -578.27716447199 867.197765256434
"27.16667" 310.822035146178 -411.915429718034 1033.55950001039
"27.20833" 836.660580395245 113.923115531033 1559.39804525946
"27.25000" 523.778654715995 -198.958810148217 1246.51611958021
"27.29167" 552.713281455908 -170.024183408304 1275.45074632012
"27.33333" 331.669090206633 -391.068374657579 1054.40655507085
"27.37500" 517.861703930601 -204.875760933611 1240.59916879481
"27.41667" 535.826976388191 -186.910488476021 1258.5644412524
"27.45833" 344.333328170947 -378.404136693265 1067.07079303516
"27.50000" 556.575655623117 -166.161809241095 1279.31312048733
"27.54167" 426.152196961244 -296.585267902968 1148.88966182546
"27.58333" 409.0900825799 -313.647382284312 1131.82754744411
"27.62500" 506.99192470466 -215.745540159552 1229.72938956887
"27.66667" 554.734456672616 -168.003008191597 1277.47192153683
"27.70833" 862.499598298633 139.762133434421 1585.23706316285
"27.75000" 959.663103489544 236.925638625332 1682.40056835376
"27.79167" 800.255228404615 77.5177635404029 1522.99269326883
"27.83333" 593.629527851435 -129.107937012777 1316.36699271565
"27.87500" 580.993231775049 -163.322578741432 1325.30904229153
"27.91667" 168.120789265259 -585.677528451497 921.919106982014
"27.95833" 369.776291212823 -387.516481746429 1127.06906417207
"28.00000" 218.802426187529 -540.074111231243 977.6789636063
"28.04167" 442.903152724239 -315.973384694532 1201.77969014301
"28.08333" 597.328239292616 -161.548298126155 1356.20477671139
"28.12500" 151.255479033976 -607.621058384796 910.132016452747
"28.16667" 311.594111126577 -447.282426292195 1070.47064854535
"28.20833" 874.295326049421 115.418788630649 1633.17186346819
"28.25000" 612.807707513914 -146.068829904857 1371.68424493269
"28.29167" 620.646677184269 -138.229860234502 1379.52321460304
"28.33333" 434.855176501397 -324.021360917375 1193.73171392017
"28.37500" 564.206735968666 -194.669801450106 1323.08327338744
"28.41667" 617.34553902923 -141.530998389541 1376.222076448
"28.45833" 380.505469968303 -378.371067450469 1139.38200738707
"28.50000" 588.698232796977 -170.178304621795 1347.57477021575
"28.54167" 526.684866628128 -232.191670790643 1285.5614040469
"28.58333" 403.842056932605 -355.034480486167 1162.71859435138
"28.62500" 581.105378712788 -177.771158705983 1339.98191613156
"28.66667" 636.497177618952 -122.379359799819 1395.37371503772
"28.70833" 906.001879431328 147.125342012557 1664.8784168501
"28.75000" 952.606924909345 193.730387490573 1711.48346232812
"28.79167" 689.754359719207 -69.1221776995642 1448.63089713798
"28.83333" 435.477365378015 -323.399172040756 1194.35390279679
"28.87500" 501.126734144553 -299.101758857367 1301.35522714647
"28.91667" 127.448601803833 -690.657407478942 945.554611086609
"28.95833" 375.770795984735 -448.881632549803 1200.42322451927
"29.00000" 238.947064571618 -588.66518920307 1066.55931834631
"29.04167" 494.085977469594 -333.526276305095 1321.69823124428
"29.08333" 660.16872385186 -167.443529922828 1487.78097762655
"29.12500" 175.452841657381 -652.159412117308 1003.06509543207
"29.16667" 279.735360220288 -547.876893554401 1107.34761399498
"29.20833" 882.874585818126 55.2623320434367 1710.48683959281
"29.25000" 593.959859445769 -233.65239432892 1421.57211322046
"29.29167" 673.928547516252 -153.683706258437 1501.54080129094
"29.33333" 512.075990844665 -315.536262930024 1339.68824461935
"29.37500" 512.950362849239 -314.661890925449 1340.56261662393
"29.41667" 514.0265651771 -313.585688597589 1341.63881895179
"29.45833" 295.193067353862 -532.419186420827 1122.80532112855
"29.50000" 460.304301020858 -367.307952753831 1287.91655479555
"29.54167" 432.241934433788 -395.370319340901 1259.85418820848
"29.58333" 288.179855977937 -539.432397796752 1115.79210975263
"29.62500" 482.479390622674 -345.132863152014 1310.09164439736
"29.66667" 602.589693785907 -225.022559988782 1430.2019475606
"29.70833" 839.406577029357 11.7943232546684 1667.01883080405
"29.75000" 740.5568163297 -87.0554374449883 1568.16907010439
"29.79167" 516.842491018822 -310.769762755867 1344.45474479351
"29.83333" 468.689329349943 -358.922924424746 1296.30158312463
"x"
"1" "======"
"Point.Forecast" "Lo.95" "Hi.95"
"26.87500" 955.76304016067 90.7812245911762 1820.74485573016
"26.91667" 459.523641167867 -555.777435625331 1474.82471796106
"26.95833" 723.17172124082 -347.917911376397 1794.26135385804
"27.00000" 580.299952508666 -517.974211942969 1678.5741169603
"27.04167" 678.653347490193 -419.620816961442 1776.92751194183
"27.08333" 997.598435881711 -100.675728569924 2095.87260033335
"27.12500" 456.983981904801 -641.290182546834 1555.25814635644
"27.16667" 672.383515739713 -425.890648711922 1770.65768019135
"27.20833" 1453.00880890061 354.734644448977 2551.28297335225
"27.25000" 996.986817027143 -101.287347424492 2095.26098147878
"27.29167" 1125.00692270071 26.7327582490775 2223.28108715235
"27.33333" 719.069228123091 -379.204936328544 1817.34339257473
"27.37500" 948.779384542969 -149.494779908666 2047.0535489946
"27.41667" 982.482256159436 -115.791908292199 2080.75642061107
"27.45833" 675.27167307885 -423.002491372785 1773.54583753049
"27.50000" 989.633628917718 -108.640535533917 2087.90779336935
"27.54167" 802.399363644547 -295.874800807088 1900.67352809618
"27.58333" 740.123497299259 -358.150667152376 1838.39766175089
"27.62500" 894.026961337336 -204.247203114299 1992.30112578897
"27.66667" 1032.51397349874 -65.7601909528908 2130.78813795038
"27.70833" 1494.67454263673 396.400378185092 2592.94870708836
"27.75000" 1481.55118531926 383.27702086762 2579.82534977089
"27.79167" 1193.17972884993 94.9055643982958 2291.45389330157
"27.83333" 1288.99695851151 190.722794059873 2387.27112296314
"27.87500" 1354.25667546287 212.738602551127 2495.77474837462
"27.91667" 631.649906503134 -525.783900183155 1789.08371318942
"27.95833" 738.966939532833 -424.957951103281 1902.89183016895
"28.00000" 533.319249422037 -633.880612150202 1700.51911099428
"28.04167" 771.162682858194 -396.037178714044 1938.36254443043
"28.08333" 1035.04184466888 -132.158016903357 2202.24170624112
"28.12500" 455.66411692161 -711.535744650629 1622.86397849385
"28.16667" 688.416753999642 -478.783107572596 1855.61661557188
"28.20833" 1490.90305202312 323.703190450884 2658.10291359536
"28.25000" 1131.5740921031 -35.6257694691399 2298.77395367534
"28.29167" 1201.00377215671 33.8039105844689 2368.20363372895
"28.33333" 814.922948341796 -352.276913230442 1982.12280991403
"28.37500" 1025.82754642306 -141.372315149179 2193.0274079953
"28.41667" 1140.95594784055 -26.2439137316874 2308.15580941279
"28.45833" 758.222254596989 -408.977606975249 1925.42211616923
"28.50000" 1088.29519655232 -78.9046650199205 2255.49505812456
"28.54167" 980.003902652519 -187.195958919719 2147.20376422476
"28.58333" 772.559120249532 -394.640741322707 1939.75898182177
"28.62500" 1022.24920790638 -144.950653665858 2189.44906947862
"28.66667" 1123.35478232473 -43.8450792475091 2290.55464389697
"28.70833" 1516.14265651212 348.942794939879 2683.34251808436
"28.75000" 1579.73800870189 412.538147129646 2746.93787027412
"28.79167" 1153.44085693239 -13.7590046398532 2320.64071850462
"28.83333" 1129.98808500344 -37.2117765687967 2297.18794657568
"28.87500" 1258.02667286033 30.400166574366 2485.65317914628
"28.91667" 475.961737174527 -773.731818349741 1725.6552926988
"28.95833" 744.396572004215 -514.272078786398 2003.06522279483
"29.00000" 571.813234973435 -691.378365811116 1835.00483575799
"29.04167" 836.552228493206 -426.639372291345 2099.74382927776
"29.08333" 1121.13287415075 -142.058726633801 2384.3244749353
"29.12500" 499.094918317739 -764.096682466813 1762.28651910229
"29.16667" 633.396648110996 -629.794952673555 1896.58824889555
"29.20833" 1524.04286957592 260.851268791368 2787.23447036047
"29.25000" 1111.60594567785 -151.585655106702 2374.7975464624
"29.29167" 1283.71575880396 20.5241580194036 2546.90735958851
"29.33333" 949.015499023615 -314.176101760937 2212.20709980817
"29.37500" 938.454738851737 -324.736861932815 2201.64633963629
"29.41667" 980.250458798281 -282.94114198627 2243.44205958283
"29.45833" 616.563213595793 -646.628387188759 1879.75481438035
"29.50000" 869.93806120078 -393.253539583771 2133.12966198533
"29.54167" 833.854861646059 -429.336739138493 2097.04646243061
"29.58333" 582.311100166772 -680.88050061778 1845.50270095132
"29.62500" 882.008690482833 -381.182910301719 2145.20029126738
"29.66667" 1031.57578750072 -231.615813283835 2294.76738828527
"29.70833" 1354.47887354488 91.2872727603308 2617.67047432943
"29.75000" 1228.66097284825 -34.5306279363065 2491.8525736328
"29.79167" 858.007213689746 -405.184387094806 2121.1988144743
"29.83333" 1051.00955698392 -212.182043800632 2314.20115776847
"x"
"1" "======"
"Point.Forecast" "Lo.95" "Hi.95"
"26.87500" 910.285284785683 45.9161023673067 1774.65446720406
"26.91667" 307.429819636846 -684.832332577559 1299.69197185125
"26.95833" 849.232264541327 -184.412369443601 1882.87689852626
"27.00000" 607.860062867613 -462.966894587928 1678.68702032315
"27.04167" 665.150360374424 -405.676597081117 1735.97731782997
"27.08333" 1096.47064144315 25.6436839876064 2167.29759889869
"27.12500" 402.369298405207 -668.457659050334 1473.19625586075
"27.16667" 703.835629319021 -366.99132813652 1774.66258677456
"27.20833" 1411.65711578229 340.830158326748 2482.48407323783
"27.25000" 867.020186545137 -203.806770910404 1937.84714400068
"27.29167" 1102.17118995787 31.3442325023316 2172.99814741341
"27.33333" 658.828978483729 -411.997978971812 1729.65593593927
"27.37500" 933.178444015813 -137.648513439728 2004.00540147135
"27.41667" 998.504828473805 -72.3221289817357 2069.33178592935
"27.45833" 618.176076286306 -452.650881169236 1689.00303374185
"27.50000" 1043.46859356072 -27.3583638948235 2114.29555101626
"27.54167" 771.205035701393 -299.621921754148 1842.03199315693
"27.58333" 749.713364632261 -321.11359282328 1820.5403220878
"27.62500" 964.566862886726 -106.260094568816 2035.39382034227
"27.66667" 986.025231236656 -84.8017262188852 2056.8521886922
"27.70833" 1531.13983555978 460.312878104244 2601.96679301533
"27.75000" 1555.02444006982 484.197482614279 2625.85139752536
"27.79167" 1275.37450793773 204.547550482194 2346.20146539328
"27.83333" 1278.32434332779 207.49738587225 2349.15130078333
"27.87500" 1281.39137781388 172.496906544786 2390.28584908298
"27.91667" 489.42295565646 -631.299183346504 1610.14509465943
"27.95833" 844.265507909416 -280.602946829787 1969.13396264862
"28.00000" 548.17662627106 -580.54804171695 1676.90129425907
"28.04167" 796.103098823256 -332.621569164754 1924.82776681127
"28.08333" 1146.29360427837 17.5689362903593 2275.01827226638
"28.12500" 400.119802621469 -728.604865366541 1528.84447060948
"28.16667" 722.940825738125 -405.783842249885 1851.66549372613
"28.20833" 1467.49006436749 338.765396379476 2596.2147323555
"28.25000" 989.567081768191 -139.157586219819 2118.2917497562
"28.29167" 1164.79356317625 36.0688951882371 2293.51823116426
"28.33333" 782.84727596876 -345.87739201925 1911.57194395677
"28.37500" 991.516813811712 -137.207854176298 2120.24148179972
"28.41667" 1175.73856884127 47.0139008532619 2304.46323682928
"28.45833" 689.745655235618 -438.979012752392 1818.47032322363
"28.50000" 1136.41774148006 7.69307349205201 2265.14240946807
"28.54167" 982.111994445404 -146.612673542606 2110.83666243341
"28.58333" 758.321285715945 -370.403382272064 1887.04595370395
"28.62500" 1132.34946635232 3.6247983643068 2261.07413434033
"28.66667" 1090.59738051288 -38.1272874751251 2219.32204850089
"28.70833" 1551.79083232474 423.066164336729 2680.51550031275
"28.75000" 1672.51534252736 543.790674539354 2801.24001051537
"28.79167" 1165.75050878833 37.025840800316 2294.47517677634
"28.83333" 1045.68756642426 -83.0371015637481 2174.41223441227
"28.87500" 1171.00546226114 -15.9940025015185 2358.00492702379
"28.91667" 338.871882749915 -866.058107658727 1543.80187315856
"28.95833" 843.291522963032 -367.905835658295 2054.48888158436
"29.00000" 591.23880253473 -625.779071629647 1808.25667669911
"29.04167" 876.582713989287 -340.435160175091 2093.60058815366
"29.08333" 1258.98148041127 41.963606246891 2475.99935457565
"29.12500" 463.450865539381 -753.567008624997 1680.46873970376
"29.16667" 645.391759197131 -571.626114967247 1862.40963336151
"29.20833" 1502.23875058733 285.220876422952 2719.25662475171
"29.25000" 965.390908652016 -251.626965512362 2182.40878281639
"29.29167" 1249.92157442782 32.903700263447 2466.9394485922
"29.33333" 939.207071052803 -277.810803111574 2156.22494521718
"29.37500" 891.197704170516 -325.820169993862 2108.21557833489
"29.41667" 1020.73473234489 -196.283141819487 2237.75260650927
"29.45833" 572.352975098079 -644.664899066298 1789.37084926246
"29.50000" 907.502696281178 -309.515177883199 2124.52057044556
"29.54167" 857.297308328396 -359.720565835982 2074.31518249277
"29.58333" 551.759952427761 -665.257921736617 1768.77782659214
"29.62500" 975.684016419011 -241.333857745367 2192.70189058339
"29.66667" 1049.50664193347 -167.511232230911 2266.52451609784
"29.70833" 1417.88848961546 200.870615451085 2634.90636377984
"29.75000" 1294.33643653525 77.3185623708725 2511.35431069963
"29.79167" 852.55612797935 -364.461746185027 2069.57400214373
"29.83333" 1056.35747388724 -160.66040027714 2273.37534805162
"x"
"1" "======"
"Point.Forecast" "Lo.95" "Hi.95"
"26.87500" 2081.44765444772 412.766396567029 3750.12891232841
"26.91667" 1249.02486399794 -735.678940688781 3233.72866868466
"26.95833" 1491.42702091185 -614.226045843 3597.0800876667
"27.00000" 1307.97118427041 -840.773594891152 3456.71596343196
"27.04167" 1488.79839587548 -659.946383286076 3637.54317503704
"27.08333" 2006.58223119264 -142.162547968918 4155.3270103542
"27.12500" 1140.642075647 -1008.10270351456 3289.38685480856
"27.16667" 1515.65887734944 -633.085901812113 3664.403656511
"27.20833" 3134.54743390688 985.802654745326 5283.29221306844
"27.25000" 2337.52163532274 188.776856161178 4486.26641448429
"27.29167" 2421.7500056991 273.005226537543 4570.49478486066
"27.33333" 1651.15077742309 -497.59400173847 3799.89555658464
"27.37500" 2144.67667627778 -4.06810288377301 4293.42145543934
"27.41667" 2190.62539797223 41.8806188106764 4339.37017713379
"27.45833" 1660.67919652406 -488.065582637501 3809.42397568561
"27.50000" 2192.76884663778 44.0240674762213 4341.51362579934
"27.54167" 1885.54767176372 -263.197107397841 4034.29245092527
"27.58333" 1740.00794291874 -408.736836242813 3888.7527220803
"27.62500" 1949.78534001699 -198.959439144568 4098.53011917855
"27.66667" 2330.75292960394 182.008150442387 4479.4977087655
"27.70833" 3180.2837870054 1031.53900784384 5329.02856616695
"27.75000" 3134.43429167856 985.689512517002 5283.17907084012
"27.79167" 2482.70904691968 333.964267758126 4631.45382608124
"27.83333" 2657.77289812085 509.028118959297 4806.51767728241
"27.87500" 2846.71987656025 620.402754364512 5073.036998756
"27.91667" 1529.47129138306 -728.228552508686 3787.17113527481
"27.95833" 1557.53085642423 -713.483762092101 3828.54547494056
"28.00000" 1243.87307376629 -1032.05578780026 3519.80193533284
"28.04167" 1658.24067295663 -617.688188609922 3934.16953452318
