"x"
"1" "all"
"Point.Forecast" "Lo.95" "Hi.95"
"3.839286" 1063.39410111603 -1459.81288839058 3586.60109062263
"3.845238" 1044.44518941546 -2376.5378601381 4465.42823896902
"3.851190" 424.86693742621 -3703.04737112849 4552.7812459809
"3.857143" -993.54746271571 -5723.89925219272 3736.8043267613
"3.863095" -1166.48995689179 -6430.7828406176 4097.80292683401
"3.869048" -1171.82763995567 -6920.68240234826 4577.02712243692
"3.875000" -1167.4981951483 -7363.1323509488 5028.1359606522
"3.880952" -645.41457689444 -7257.708740493 5966.87958670412
"3.886905" 1084.93083018327 -5919.28116114005 8089.14282150658
"3.892857" 1010.4407921656 -6364.89222627059 8385.7738106018
"3.898810" 1129.00569542458 -6599.64804544601 8857.65943629517
"3.904762" 1261.16674696577 -6805.34676010224 9327.68025403379
"3.910714" 1285.65500906188 -7105.12514972839 9676.43516785215
"3.916667" 1117.91134478808 -7585.06189351309 9820.88458308924
"3.922619" 1207.17642055191 -7797.17223440498 10211.5250755088
"3.928571" 1190.83396963297 -8105.12462609356 10486.7925653595
"3.934524" 1033.40921493138 -8545.28577587502 10612.1042057378
"3.940476" 1025.44909078029 -8827.87264558544 10878.770827146
"3.946429" 1162.15434086835 -8958.34469592698 11282.6533776637
"3.952381" 270.706388366494 -10110.0957129749 10651.5084897078
"3.958333" -292.585161079406 -10927.3208785597 10342.1505564009
"3.964286" -1362.02126971198 -12244.7670305064 9520.72449108243
"3.970238" -1471.26105026963 -12596.4894437691 9653.96734322983
"3.976190" -1527.98071726977 -12890.5182120798 9834.55677754028
"3.982143" -1452.50716875555 -13047.4978903733 10142.4835528622
"3.988095" -1513.8331528222 -13336.7076488084 10309.041343164
"3.994048" 1044.52462166635 -11001.9235213042 13090.9727646369
"4.000000" -1186.85657593122 -13452.803925187 11079.0907733246
"4.005952" -1435.83277426138 -13917.4198483539 11045.7542998311
"4.011905" -1422.50503903201 -14116.0690539803 11271.0589759163
"4.017857" -1406.01279603118 -14308.0715044323 11496.0459123699
"4.023810" -1452.77067503251 -14560.0080051668 11654.4666551018
"4.029762" -1374.18853821722 -14683.4417833059 11935.0647068715
"4.035714" -1172.143032554 -14680.391381446 12336.1053163379
"4.041667" 1203.383813875 -12500.9704200457 14907.7380477957
"4.047619" 1296.35536507797 -12601.3378421495 15194.0485723055
"4.053571" 643.250398407147 -13445.1287842971 14731.6295811114
"4.059524" -814.155316268168 -15090.673782235 13462.3631496987
"4.065476" -907.841394774482 -15370.0518420931 13554.3690525441
"4.071429" 743.439151285801 -13902.1090643314 15388.987366903
"4.077381" -189.502264286627 -15016.1213680947 14637.1168395215
"4.083333" 1083.67907661944 -13921.8260985769 16089.1842518158
"4.089286" 1233.32258542733 -13948.9610727146 16415.6062435692
"4.095238" 1184.47804302996 -14172.5492926793 16541.5053787392
"4.101190" 1028.56038460544 -14501.2445112443 16558.3652804552
"4.107143" 1007.67489328202 -14693.0063536128 16708.3561401769
"4.113095" 1213.66290655112 -14656.0548959189 17083.3807090211
"4.119048" 1404.28328919206 -14632.6894501834 17441.2560285675
"4.125000" 2397.64572169919 -13804.8555098054 18600.1469532038
"4.130952" 2379.22333834489 -13987.1323241215 18745.5790008113
"4.136905" 1395.10843759811 -15133.4773816359 17923.6942568322
"4.142857" 862.999956316312 -15826.2391125335 17552.2390251661
"4.148810" -1066.8813698736 -17915.241889837 15781.4791500898
"4.154762" -1325.08276561422 -18331.075936379 15680.9104051506
"4.160714" -1124.44149797183 -18286.6195426588 16037.7365467152
"4.166667" -1156.49855381558 -18473.4528689073 16160.4557612761
"4.172619" -1194.86690280974 -18665.226322822 16275.4925172025
"4.178571" -983.362491169354 -18605.7916590749 16639.0666767362
"4.184524" -1160.48677148947 -18933.6846067494 16612.7110637704
"4.190476" -466.376478697782 -18389.0747355096 17456.321778114
"4.196429" 1904.87329900393 -16166.0886100413 19975.8352080491
"4.202381" 1890.44725132987 -16327.571736244 20108.4662389037
"4.208333" 2013.78276263549 -16350.1157163106 20377.6812415816
"4.214286" 1648.41831736311 -16860.2099099928 20157.046544719
"4.220238" -1404.43360385188 -20056.6686005463 17247.8013928426
"4.226190" 98.6704585857768 -18696.0740697485 18893.4149869201
"4.232143" -1188.38676310696 -20124.5683581062 17747.7948318923
"4.238095" -1613.20075019729 -20689.770801237 17463.3693008425
"4.244048" 1200.91635181543 -18015.0165275861 20416.849231217
"4.250000" 2330.26114790911 -17024.0310876417 21684.5533834599
"4.255952" 4857.22616920403 -14634.4433193888 24348.8956577969
"4.261905" 3882.33224969971 -15745.7530101003 23510.4175094997
"x"
"1" "======"
"x"
"1" "all"
"Point.Forecast" "Lo.95" "Hi.95"
"3.839286" 1063.39410111603 -1459.81288839058 3586.60109062263
"3.845238" 1044.44518941546 -2376.5378601381 4465.42823896902
"3.851190" 424.86693742621 -3703.04737112849 4552.7812459809
"3.857143" -993.54746271571 -5723.89925219272 3736.8043267613
"3.863095" -1166.48995689179 -6430.7828406176 4097.80292683401
"3.869048" -1171.82763995567 -6920.68240234826 4577.02712243692
"3.875000" -1167.4981951483 -7363.1323509488 5028.1359606522
"3.880952" -645.41457689444 -7257.708740493 5966.87958670412
"3.886905" 1084.93083018327 -5919.28116114005 8089.14282150658
"3.892857" 1010.4407921656 -6364.89222627059 8385.7738106018
"3.898810" 1129.00569542458 -6599.64804544601 8857.65943629517
"3.904762" 1261.16674696577 -6805.34676010224 9327.68025403379
"3.910714" 1285.65500906188 -7105.12514972839 9676.43516785215
"3.916667" 1117.91134478808 -7585.06189351309 9820.88458308924
"3.922619" 1207.17642055191 -7797.17223440498 10211.5250755088
"3.928571" 1190.83396963297 -8105.12462609356 10486.7925653595
"3.934524" 1033.40921493138 -8545.28577587502 10612.1042057378
"3.940476" 1025.44909078029 -8827.87264558544 10878.770827146
"3.946429" 1162.15434086835 -8958.34469592698 11282.6533776637
"3.952381" 270.706388366494 -10110.0957129749 10651.5084897078
"3.958333" -292.585161079406 -10927.3208785597 10342.1505564009
"3.964286" -1362.02126971198 -12244.7670305064 9520.72449108243
"3.970238" -1471.26105026963 -12596.4894437691 9653.96734322983
"3.976190" -1527.98071726977 -12890.5182120798 9834.55677754028
"3.982143" -1452.50716875555 -13047.4978903733 10142.4835528622
"3.988095" -1513.8331528222 -13336.7076488084 10309.041343164
"3.994048" 1044.52462166635 -11001.9235213042 13090.9727646369
"4.000000" -1186.85657593122 -13452.803925187 11079.0907733246
"4.005952" -1435.83277426138 -13917.4198483539 11045.7542998311
"4.011905" -1422.50503903201 -14116.0690539803 11271.0589759163
"4.017857" -1406.01279603118 -14308.0715044323 11496.0459123699
"4.023810" -1452.77067503251 -14560.0080051668 11654.4666551018
"4.029762" -1374.18853821722 -14683.4417833059 11935.0647068715
"4.035714" -1172.143032554 -14680.391381446 12336.1053163379
"4.041667" 1203.383813875 -12500.9704200457 14907.7380477957
"4.047619" 1296.35536507797 -12601.3378421495 15194.0485723055
"4.053571" 643.250398407147 -13445.1287842971 14731.6295811114
"4.059524" -814.155316268168 -15090.673782235 13462.3631496987
"4.065476" -907.841394774482 -15370.0518420931 13554.3690525441
"4.071429" 743.439151285801 -13902.1090643314 15388.987366903
"4.077381" -189.502264286627 -15016.1213680947 14637.1168395215
"4.083333" 1083.67907661944 -13921.8260985769 16089.1842518158
"4.089286" 1233.32258542733 -13948.9610727146 16415.6062435692
"4.095238" 1184.47804302996 -14172.5492926793 16541.5053787392
"4.101190" 1028.56038460544 -14501.2445112443 16558.3652804552
"4.107143" 1007.67489328202 -14693.0063536128 16708.3561401769
"4.113095" 1213.66290655112 -14656.0548959189 17083.3807090211
"4.119048" 1404.28328919206 -14632.6894501834 17441.2560285675
"4.125000" 2397.64572169919 -13804.8555098054 18600.1469532038
"4.130952" 2379.22333834489 -13987.1323241215 18745.5790008113
"4.136905" 1395.10843759811 -15133.4773816359 17923.6942568322
"4.142857" 862.999956316312 -15826.2391125335 17552.2390251661
"4.148810" -1066.8813698736 -17915.241889837 15781.4791500898
"4.154762" -1325.08276561422 -18331.075936379 15680.9104051506
"4.160714" -1124.44149797183 -18286.6195426588 16037.7365467152
"4.166667" -1156.49855381558 -18473.4528689073 16160.4557612761
"4.172619" -1194.86690280974 -18665.226322822 16275.4925172025
"4.178571" -983.362491169354 -18605.7916590749 16639.0666767362
"4.184524" -1160.48677148947 -18933.6846067494 16612.7110637704
"4.190476" -466.376478697782 -18389.0747355096 17456.321778114
"4.196429" 1904.87329900393 -16166.0886100413 19975.8352080491
"4.202381" 1890.44725132987 -16327.571736244 20108.4662389037
"4.208333" 2013.78276263549 -16350.1157163106 20377.6812415816
"4.214286" 1648.41831736311 -16860.2099099928 20157.046544719
"4.220238" -1404.43360385188 -20056.6686005463 17247.8013928426
"4.226190" 98.6704585857768 -18696.0740697485 18893.4149869201
"4.232143" -1188.38676310696 -20124.5683581062 17747.7948318923
"4.238095" -1613.20075019729 -20689.770801237 17463.3693008425
"4.244048" 1200.91635181543 -18015.0165275861 20416.849231217
"4.250000" 2330.26114790911 -17024.0310876417 21684.5533834599
"4.255952" 4857.22616920403 -14634.4433193888 24348.8956577969
"4.261905" 3882.33224969971 -15745.7530101003 23510.4175094997
"x"
"1" "======"
