"x"
"1" "all"
"Point.Forecast" "Lo.95" "Hi.95"
"20.87500" 1815.28982687655 -431.094314622536 4061.67396837563
"20.91667" 2562.77075823372 -399.750111791401 5525.29162825884
"20.95833" 1256.22095999585 -1992.88546638802 4505.32738637973
"21.00000" 1721.19256185416 -1641.48643411966 5083.87155782798
"21.04167" 1133.31132067085 -2274.24604274505 4540.86868408675
"21.08333" 1132.44475817615 -2292.83973986469 4557.72925621698
"21.12500" 955.298385654834 -2476.98975085539 4387.58652216505
"21.16667" 1008.80336175587 -2426.25236116722 4443.85908467896
"21.20833" 919.310841472979 -2516.83868137115 4355.46036431711
"21.25000" 1251.27883394797 -2185.30301010907 4687.86067800501
"21.29167" 1331.30585988599 -2105.44686408394 4768.05858385592
"21.33333" 4866.57826479608 1429.75799742817 8303.39853216398
"21.37500" 4663.28508584424 1226.43812051109 8100.1320511774
"21.41667" 2639.50915897412 -797.348359334086 6076.36667728233
"21.45833" 3546.65541661075 109.793726994077 6983.51710622743
"21.50000" 3455.33878446684 18.4754460425656 6892.20212289111
"21.54167" 3090.10951493978 -346.754475214584 6526.97350509414
"21.58333" 4095.10378650565 658.23953873957 7531.96803427172
"21.62500" 3953.68745027732 516.823100684123 7390.55179987052
"21.66667" 4875.56121558128 1438.6968257385 8312.42560542406
"21.70833" 4041.02572524611 604.161319493733 7477.89013099849
"21.75000" 2534.81800012359 -902.046411917428 5971.68241216462
"21.79167" 2490.82766940864 -946.036745118115 5927.6920839354
"21.83333" 4095.83526428905 658.970848779747 7532.69967979836
"21.87500" 4087.98362661421 586.037369706592 7589.92988352182
"21.91667" 4121.49820736028 572.211087594084 7670.78532712648
"21.95833" 2475.54335702976 -1096.11430710116 6047.20102116069
"22.00000" 2405.9670003997 -1175.08518502191 5987.01918582131
"22.04167" 1629.65514583447 -1955.19126198737 5214.5015536563
"22.08333" 1553.09915762759 -2033.25872251324 5139.45703776841
"22.12500" 995.395557498983 -2591.56146021184 4582.35257520981
"22.16667" 1154.95881601912 -2432.23526904645 4742.15290108468
"22.20833" 882.438954029983 -2704.84887267508 4469.72678073504
"22.25000" 1282.40168937372 -2304.92319599288 4869.72657474032
"22.29167" 1672.16859595262 -1915.17093845455 5259.5081303598
"22.33333" 5274.90397924015 1687.55865434852 8862.24930413179
"22.37500" 4758.98274276331 1171.63512903068 8346.33035649594
"22.41667" 3203.49000627036 -383.85851218298 6790.8385247237
"22.45833" 3814.15492668236 226.806050616443 7401.50380274827
"22.50000" 3418.16014120724 -169.188876213546 7005.50915862803
"22.54167" 2858.57812349011 -728.770949804546 6445.92719678476
"22.58333" 4173.58127802195 586.232182641829 7760.93037340208
"22.62500" 4195.59338545973 608.244281349807 7782.94248956966
"22.66667" 5219.5007423176 1632.15163475702 8806.84984987819
"22.70833" 3842.23568105304 254.8865721285 7429.58478997759
"22.75000" 2593.34562383926 -994.003485624419 6180.69473330294
"22.79167" 2296.39988735418 -1290.94922232261 5883.74899703097
"22.83333" 4575.02328629055 987.674176529526 8162.37239605157
"22.87500" 4671.09453390649 962.122603993818 8380.06646381917
"22.91667" 4322.43399132907 526.06057264763 8118.80741001051
"22.95833" 1880.92119389939 -1956.46013833181 5718.30252613059
"23.00000" 1777.88571136695 -2076.66295121506 5632.43437394897
"23.04167" 1254.61337145471 -2606.85986746576 5116.08661037519
"23.08333" 1914.83456250718 -1949.39574527178 5779.06487028615
"23.12500" 957.681618097346 -2907.64135074255 4823.00458693724
"23.16667" 1206.61552281969 -2659.13975637214 5072.37080201152
"23.20833" 955.616541177973 -2910.30967757012 4821.54275992606
"23.25000" 1291.79943576981 -2574.19435925817 5157.7932307978
"23.29167" 1371.86455571651 -2494.15595162891 5237.88506306193
"23.33333" 5671.18703263438 1805.1559664436 9537.21809882516
"23.37500" 4906.97746464488 1040.94222479653 8773.01270449324
"23.41667" 3139.36393134048 -726.672958248192 7005.40082092916
"23.45833" 3771.21800834424 -94.8195333438071 7637.2555500323
"23.50000" 2998.19779401916 -867.840005426669 6864.23559346499
"23.54167" 2340.51358370119 -1525.5243176295 6206.55148503189
"23.58333" 3765.07340923204 -100.964532371063 7631.11135083514
"23.62500" 4003.62224948251 137.584291960789 7869.66020700424
"23.66667" 5432.47845583076 1566.44049201682 9298.5164196447
"23.70833" 3841.51308003028 -24.5248862708017 7707.55104633136
"23.75000" 3001.18253518575 -864.855432098434 6867.22050246994
"23.79167" 2018.70547387841 -1847.33249379437 5884.74344155119
"23.83333" 3158.91552723635 -707.122440590035 7024.95349506273
"x"
"1" "======"
