----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
09-06 19:41:38|                   |3199M 2700M 4316k 1937M|           
09-06 19:41:39| 97   1   0   1   0|3200M 2656M 4316k 1981M|  44M    0 
09-06 19:41:40| 98   2   0   0   0|3193M 2628M 4316k 2009M|  35M    0 
09-06 19:41:41| 98   1   0   0   0|3192M 2593M 4316k 2044M|  36M 7908k
09-06 19:41:42| 99   2   0   0   0|3191M 2552M 4316k 2086M|  42M   11k
09-06 19:41:43| 73   1   3  22   0|3191M 2509M 4316k 2128M|  41M    0 
09-06 19:41:44| 66   1   5  28   0|3191M 2469M 4316k 2168M|  40M    0 
09-06 19:41:45| 69   1   5  25   0|3192M 2435M 4316k 2202M|  34M    0 
09-06 19:41:46| 93   1   1   4   0|3191M 2392M 4316k 2245M|  42M 5390k
09-06 19:41:47| 50   1  10  38   0|3192M 2367M 4316k 2270M|  25M  361k
09-06 19:41:48| 36   1  31  31   0|3192M 2341M 4340k 2295M|  26M   78k
09-06 19:41:49| 81   2   2  16   0|3192M 2311M 4340k 2325M|  30M  307k
09-06 19:41:50| 97   2   0   1   0|3192M 2266M 4340k 2369M|  45M    0 
09-06 19:41:51| 97   1   1   1   0|3192M 2221M 4340k 2414M|  45M    0 
09-06 19:41:52| 94   1   0   3   0|3193M 2180M 4340k 2455M|  40M  345k
09-06 19:41:53| 98   1   1   1   0|3193M 2144M 4340k 2491M|  37M  120k
09-06 19:41:54| 98   1   0   1   0|3193M 2107M 4340k 2528M|  36M    0 
09-06 19:41:55| 95   1   0   3   0|3192M 2073M 4340k 2563M|  35M 1011k
09-06 19:41:56| 97   1   1   2   0|3194M 2027M 4340k 2607M|  44M    0 
09-06 19:41:57| 96   2   1   1   0|3193M 1982M 4340k 2652M|  45M    0 
09-06 19:41:58| 97   1   1   1   0|3194M 1937M 4340k 2696M|  45M    0 
09-06 19:41:59| 96   1   0   2   0|3194M 1897M 4340k 2736M|  40M    0 
09-06 19:42:00| 97   2   1   1   0|3194M 1862M 4340k 2771M|  35M    0 
09-06 19:42:01| 98   1   0   1   0|3184M 1835M 4340k 2800M|  37M    0 
09-06 19:42:02| 97   1   1   1   0|3184M 1797M 4340k 2838M|  38M    0 
09-06 19:42:03| 89   1   1   9   0|3181M 1771M 4324k 2867M|  40M    0 
09-06 19:42:04| 38   1  22  38   0|3181M 1758M 4324k 2879M|  26M    0 
09-06 19:42:05| 33   1  11  54   0|3180M 1735M 4324k 2903M|  24M    0 
09-06 19:42:06| 39   1  14  47   0|3179M 1708M 4324k 2931M|  28M    0 
09-06 19:42:07| 35   1  10  53   0|3180M 1681M 4324k 2957M|  26M 4097B
09-06 19:42:08| 35   1   9  55   0|3180M 1657M 4324k 2981M|  24M    0 
09-06 19:42:09| 35   0  24  40   0|3180M 1632M 4324k 3006M|  25M    0 
09-06 19:42:10| 32   1  17  51   0|3180M 1607M 4324k 3030M|  24M    0 
09-06 19:42:11| 34   1  20  45   0|3182M 1581M 4324k 3056M|  25M    0 
09-06 19:42:12| 38   1  16  46   0|3182M 1552M 4324k 3083M|  28M  288k
09-06 19:42:13| 42   0  13  43   0|3183M 1522M 4324k 3113M|  30M 5120B
09-06 19:42:14| 35   1  14  50   0|3183M 1497M 4324k 3138M|  25M    0 
09-06 19:42:15| 38   1  21  40   0|3183M 1470M 4324k 3166M|  27M    0 
09-06 19:42:16| 44   1   5  49   0|3182M 1443M 4324k 3193M|  27M    0 
09-06 19:42:17| 34   1  22  43   0|3182M 1418M 4324k 3218M|  25M 1024B
09-06 19:42:18| 32   0  31  36   0|3182M 1395M 4324k 3241M|  23M    0 
09-06 19:42:19| 39   1  16  44   0|3182M 1369M 4324k 3266M|  26M    0 
09-06 19:42:20| 32   1   9  59   0|3182M 1346M 4324k 3289M|  22M    0 
09-06 19:42:21| 28   0  18  52   0|3183M 1324M 4324k 3311M|  23M    0 
09-06 19:42:22| 32   0  14  54   0|3182M 1301M 4324k 3335M|  23M    0 
09-06 19:42:23| 30   1  16  53   0|3183M 1277M 4324k 3358M|  23M   43k
09-06 19:42:24| 28   1  13  58   0|3182M 1255M 4324k 3380M|  23M    0 
09-06 19:42:25| 32   1   6  61   0|3181M 1236M 4324k 3400M|  20M  199k
09-06 19:42:26| 29   1  10  61   0|3181M 1214M 4324k 3422M|  22M    0 
09-06 19:42:27| 30   0  13  56   0|3182M 1190M 4324k 3445M|  23M    0 
09-06 19:42:28| 32   1  18  49   0|3182M 1166M 4324k 3469M|  23M    0 
09-06 19:42:29| 31   1  22  47   0|3182M 1144M 4324k 3492M|  23M    0 
09-06 19:42:30| 34   1  17  47   0|3182M 1119M 4324k 3516M|  24M    0 
09-06 19:42:31| 30   0   9  60   0|3182M 1096M 4324k 3539M|  23M    0 
09-06 19:42:32| 30   1  14  56   0|3183M 1072M 4324k 3562M|  23M    0 
09-06 19:42:33| 34   1  16  48   0|3183M 1047M 4324k 3586M|  24M    0 
09-06 19:42:34| 32   1  25  41   0|3183M 1024M 4324k 3609M|  23M    0 
