"x"
"1" "all"
"Point.Forecast" "Lo.95" "Hi.95"
"20.87500" 26.0004674618704 -2675.83573085995 2727.83666578369
"20.91667" -512.233993942948 -4062.74906880204 3038.28108091614
"20.95833" -1508.33418597213 -5740.63802088771 2723.96964894346
"21.00000" -1970.00893136496 -6788.58073276844 2848.56287003851
"21.04167" -3627.40740934959 -8968.27556532575 1713.46074662658
"21.08333" -4658.09831598767 -10474.5500791986 1158.35344722328
"21.12500" -5450.75053936826 -11706.7356390947 805.234560358187
"21.16667" -5661.77918727419 -12328.381621966 1004.82324741763
"21.20833" -5914.8342321642 -12968.1899212301 1138.52145690171
"21.25000" -5478.57354514259 -12898.5509663156 1941.40387603047
"21.29167" -5205.33458134873 -12974.6526585649 2563.98349586741
"21.33333" -3033.39243186833 -11137.0053199077 5070.22045617099
"21.37500" -3712.94607166266 -12137.5991976635 4711.70705433824
"21.41667" -4958.73365257463 -13692.6341985893 3775.16689344008
"21.45833" -4736.22449413086 -13768.7909733723 4296.34198511056
"21.50000" -5192.05215774336 -14513.7202303662 4129.61591487943
"21.54167" -5143.05449256213 -14745.1237544658 4459.01476934152
"21.58333" -3904.63869829894 -13779.1499552997 5969.87255870179
"21.62500" -3470.69718295765 -13610.3328282298 6668.93846231451
"21.66667" -2774.35001112083 -13172.3521977485 7623.65217550682
"21.70833" -3041.63886504562 -13691.7415841443 7608.46385405305
"21.75000" -2424.95988417348 -13321.3320502475 8471.41228190054
"21.79167" -1428.21483106162 -12565.4121820935 9708.98251997028
"21.83333" -490.134498814576 -11863.0586298405 10882.7896322113
"21.87500" -1648.28756545307 -13337.7410228493 10041.1658919432
"21.91667" -2186.52202685789 -14100.7807359372 9727.73668222147
"21.95833" -3182.62221888706 -15317.5222613725 8952.27782359836
"22.00000" -3644.2969642799 -15995.8975688717 8707.30364031189
"22.04167" -5301.69544226452 -17866.2597383152 7262.86885378617
"22.08333" -6332.38634890261 -19106.3643668824 6441.5916690772
"22.12500" -7125.0385722832 -20105.0521646517 5854.97502008529
"22.16667" -7336.06722018913 -20518.8966324326 5846.7621920543
"22.20833" -7589.12226507914 -20971.6941317477 5793.44960158946
"22.25000" -7152.86157805752 -20732.2381550875 6426.51499897242
"22.29167" -6879.62261426367 -20652.9920885437 6893.74686001636
"22.33333" -4707.68046478327 -18672.3482062395 9256.98727667297
"22.37500" -5387.23410457759 -19540.6147460889 8766.14653693375
"22.41667" -6633.02168548957 -20972.6319325551 7706.58856157599
"22.45833" -6410.51252704579 -20933.9646129649 8112.93955887329
"22.50000" -6866.3401906583 -21571.3359045722 7838.65552325562
"22.54167" -6817.34252547706 -21701.6677503728 8066.98269941863
"22.58333" -5578.92673121388 -20640.4464372298 9482.59297480204
"22.62500" -5144.98521587259 -20381.6388612419 10091.6684294967
"22.66667" -4448.63804403577 -19858.4353419623 10961.1592538908
"22.70833" -4715.92689796056 -20296.9439128227 10865.0901169016
"22.75000" -4099.24791708842 -19849.6234577434 11651.1276235666
"22.79167" -3102.50286397656 -19020.4351457116 12815.4294177585
"22.83333" -2164.42253172951 -18248.1660816666 13919.3210182076
"22.87500" -3322.57559836801 -19631.675065313 12986.523868577
"22.91667" -3860.81005977282 -20331.7834334671 12610.1633139214
"22.95833" -4856.910251802 -21488.1820712145 11774.3615676105
"23.00000" -5318.58499719484 -22108.6249252422 11471.4549308525
"23.04167" -6975.98347517946 -23923.3041849455 9971.33723458653
"23.08333" -8006.67438181755 -25109.8295788536 9096.48081521855
"23.12500" -8799.32660519814 -26056.9091748439 8458.25596444766
"23.16667" -9010.35525310406 -26420.9955228466 8400.28501663852
"23.20833" -9263.41029799407 -26825.7744058419 8298.95380985375
"23.25000" -8827.14961097246 -26539.93797167 8885.63874972505
"23.29167" -8553.91064717861 -26415.856508845 9308.03521448777
"23.33333" -6381.96849769821 -24391.8365821496 11627.8995867532
"23.37500" -7061.52213749253 -25218.107358111 11095.0630831259
"23.41667" -8307.30971840451 -26609.4359699584 9994.81653314942
"23.45833" -8084.80055996073 -26531.3195752671 10361.7184553456
"23.50000" -8540.62822357324 -27130.4184923282 10049.1620451818
"23.54167" -8491.630558392 -27223.5963038907 10240.3351871067
"23.58333" -7253.21476412882 -26126.2849739483 11619.8554456907
"23.62500" -6819.27324878753 -25832.400755829 12193.8542582539
"23.66667" -6122.92607695071 -25275.0866875256 13029.2345336242
"23.70833" -6390.2149308755 -25680.4065967843 12899.9767350333
"23.75000" -5773.53595000335 -25200.777981793 13653.7060817863
"23.79167" -4776.7908968915 -24340.1232156959 14786.5414219129
"23.83333" -3838.71056464445 -23537.1929902075 15859.7718609186
"x"
"1" "======"
