"x"
"1" "house: 0"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"20.87500" 1939.63210700092 56.797928421473 3822.46628558036 -303.903195113623 4183.16740911545
"20.91667" 2709.10852423114 207.147929033669 5211.0691194286 -272.161405795354 5690.37845425762
"20.95833" 1321.64175517554 -1400.02523007693 4043.30874042801 -1921.42448585718 4564.70799620827
"21.00000" 1740.58852896911 -1068.7973953109 4549.97445324911 -1607.00127479222 5088.17833273043
"21.04167" 1125.83390310926 -1719.82236080747 3971.49016702598 -2264.97467600703 4516.64248222554
"21.08333" 1117.03557904813 -1743.81577772896 3977.88693582522 -2291.87906997011 4525.95022806637
"21.12500" 942.524130491296 -1924.72677406557 3809.77503504816 -2474.0160500394 4359.06431102199
"21.16667" 992.140150822366 -1877.81188770313 3862.09218934786 -2427.61862935099 4411.89893099572
"21.20833" 909.89930661074 -1961.19387908472 3780.9924923062 -2511.21923428389 4331.01784750537
"21.25000" 1241.01839926045 -1630.55707299005 4112.59387151095 -2180.67482151003 4662.71162003092
"21.29167" 1310.31015089459 -1561.46918489339 4182.08948668257 -2111.62598826368 4732.24629005287
"21.33333" 4851.07821743648 1979.21270215986 7722.9437327131 1429.03938908375 8273.1170457892
"21.37500" 4657.30321515455 1785.40126805266 7529.20516225644 1235.22097560447 8079.38545470463
"21.41667" 2617.59211824204 -254.325230369766 5489.50946685384 -804.508473339031 6039.6927098231
"21.45833" 3535.42770617739 663.50384656205 6407.35156579273 113.319356257083 6957.5360560977
"21.50000" 3451.45570718256 579.529095027972 6323.38231933714 29.3440774094438 6873.56733695567
"21.54167" 3092.17726410072 220.249488303801 5964.10503989763 -329.935752237756 6514.29028043919
"21.58333" 4088.32767540932 1216.39940767972 6960.25594313891 666.214072896902 7510.44127792173
"21.62500" 3943.65830887699 1071.7298331816 6815.58678457238 521.544458558045 7365.77215919593
"21.66667" 4865.8138417051 1993.88527809164 7737.74240531857 1443.69988662531 8287.9277967849
"21.70833" 4047.25372514018 1175.32512435912 6919.18232592124 625.139725772464 7469.36772450789
"21.75000" 2536.21599179707 -335.712624696685 5408.14460829083 -885.898026293473 5958.33000988762
"21.79167" 2494.68695415207 -377.241668984273 5366.61557728841 -927.427071853605 5916.80098015774
"21.83333" 4068.09798359072 1196.1693576462 6940.02660953523 645.9839542389 7490.21201294253
"21.87500" 4095.17569916511 1169.40174599316 7020.94965233707 608.901005075511 7581.45039325471
"21.91667" 4152.21745761037 1185.87359868242 7118.56131653832 617.600739139365 7686.83417608138
"21.95833" 2514.00047912511 -469.32849997601 5497.32945822624 -1040.85525834858 6068.8562165988
"22.00000" 2433.75305448562 -556.727416204392 5424.23352517564 -1129.62421081298 5997.13031978422
"22.04167" 1640.3146804827 -1353.18396381493 4633.81332478033 -1926.65896048915 5207.28832145454
"22.08333" 1533.24971204826 -1461.52395822678 4528.02338232329 -2035.24321608332 5101.74264017983
"22.12500" 992.927756894652 -2002.38477070582 3988.24028449513 -2576.20725934334 4562.06277313265
"22.16667" 1147.55923161523 -1847.98107016994 4143.09953340039 -2421.84719430402 4716.96565753447
"22.20833" 876.940310564094 -2118.69627814172 3872.5768992699 -2692.58084829768 4446.46146942587
"22.25000" 1278.89551900089 -1716.78177432035 4274.57281232213 -2290.67414240174 4848.46518040353
"22.29167" 1676.43688146093 -1319.25761967603 4672.13138259789 -1893.15328431882 5246.02704724068
"22.33333" 5253.74128091582 2258.03950515973 8249.44305667191 1684.14244689273 8823.34011493891
"22.37500" 4751.20115340809 1755.49630229315 7746.90600452303 1181.59865486891 8320.80365194727
"22.41667" 3197.67810501408 201.971953784138 6193.38425624402 -371.925942707677 6767.28215273584
"22.45833" 3811.63392574592 815.927224889143 6807.34062660269 242.029223103396 7381.23862838844
"22.50000" 3433.31208670634 437.605153493424 6429.01901991925 -136.292892805601 7002.91706621828
"22.54167" 2879.89048745003 -115.816543992043 5875.5975188921 -689.714609109171 6449.49558400923
"22.58333" 4187.0683106194 1191.3612376507 7182.7753835881 617.463164578168 7756.67345666063
