"x"
"1" "house: 0"
"Point.Forecast" "Lo.95" "Hi.95"
"3.839286" 417.374166044911 -2124.49485654195 2959.24318863178
"3.845238" -139.414413391448 -3666.6411064949 3387.812279712
"3.851190" 37.1889972776506 -4254.8452711196 4329.2232656749
"3.857143" 351.576098322997 -4588.24051544428 5291.39271209027
"3.863095" -87.7644639292964 -5599.75305192601 5424.22412406741
"3.869048" -127.729216392852 -6157.84100729365 5902.38257450794
"3.875000" -119.025303586898 -6626.13512495273 6388.08451777893
"3.880952" -863.906466910996 -7815.36014537786 6087.54721155586
"3.886905" -2344.13823713447 -9713.19097547372 5024.91450120479
"3.892857" -2463.51783890499 -10227.7414496068 5300.70577179686
"3.898810" -2481.91648362713 -10622.1497906973 5658.31682344306
"3.904762" -2406.97687454293 -10906.6020609903 6092.64831190439
"3.910714" -1809.54710883 -10653.9723771357 7034.87815947571
"3.916667" -151.274870938245 -9327.55343815706 9025.00369628057
"3.922619" -264.005390020514 -9760.54783239154 9232.53705235051
"3.928571" -117.041354674545 -9923.3938048116 9689.31109546251
"3.934524" -202.778580806405 -10309.4485760553 9903.89141444247
"3.940476" -217.241581934409 -10615.5591578415 10181.0759939727
"3.946429" -171.191283895069 -10853.196639912 10510.8140721218
"3.952381" -61.8069372797542 -11020.1584758337 10896.5446012742
"3.958333" -91.2602416855336 -11319.1584625942 11136.6379792231
"3.964286" -130.620911738262 -11621.7448113243 11360.5029878478
"3.970238" -127.89471920658 -11876.3481702865 11620.5587318734
"3.976190" -109.036898573081 -12109.3030834853 11891.2292863391
"3.982143" -1057.96935812564 -13304.8717634403 11188.933047189
"3.988095" -1568.5305663678 -14057.1993722036 10920.138239468
"3.994048" -2718.6478393065 -15444.4907802834 10007.1951016704
"4.000000" -2674.40539390352 -15633.0823547266 10284.2715669196
"4.005952" -2713.33138520832 -15900.73213712 10474.0693667034
"4.011905" -2693.90674640193 -16106.131342198 10718.3178493941
"4.017857" -2682.12158270014 -16315.4630155489 10951.2198501486
"4.023810" -2701.62834494967 -16552.5571456181 11149.3004557188
"4.029762" -2665.26765419586 -16730.4181566875 11399.8828482958
"4.035714" -2421.95243669192 -16698.1104868921 11854.2056135083
"4.041667" 64.3352075243655 -14419.756710537 14548.4271255857
"4.047619" 16.2016512214896 -14672.880985465 14705.284287908
"4.053571" -663.615215412604 -15554.8669668256 14227.6365360004
"4.059524" -2236.37370784547 -17327.0863729423 12854.3389572514
"4.065476" -2279.58961104698 -17567.1609929595 13007.9817708655
"4.071429" -433.284553850923 -15915.2117198605 15048.6426121586
"4.077381" -1496.61101119079 -17170.4841378363 14177.2621154547
"4.083333" -133.856059930544 -15997.3527995127 15729.6406796516
"4.089286" -0.854184653743232 -16051.7344976861 16050.0261283786
"4.095238" -99.2599425984904 -16335.3613477956 16136.8414625986
"4.101190" -208.761809605441 -16627.9950090091 16210.4713897982
"4.107143" -192.940347823654 -16793.2851898127 16407.4044941654
"4.113095" -76.5338632988482 -16856.0356106544 16702.9678840567
"4.119048" 196.897972225644 -16759.8679017865 17153.6638462378
"4.125000" 1205.77680293106 -15926.4191719759 18337.972777838
"4.130952" 1088.52870823523 -16217.3191166814 18394.3765331519
"4.136905" -11.555127657646 -17489.3295556484 17466.2193003331
"4.142857" -457.166649870588 -18105.1928560015 17190.8595562603
"4.148810" -2372.54907363704 -20189.2002457523 15444.1020984783
"4.154762" -2495.48452629702 -20479.1796139422 15488.2105613481
"4.160714" -2400.83821664095 -20550.0398250299 15748.363391748
"4.166667" -2421.33366598084 -20734.5460832085 15891.8787512468
"4.172619" -2439.61985760463 -20915.3872044581 16036.1474892488
"4.178571" -2267.11237691166 -20904.0168696543 16369.792115831
"4.184524" -2420.55508899104 -21217.2154064029 16376.1052284208
"4.190476" -1775.29238844988 -20730.3621352148 17179.777358315
"4.196429" 645.94508005822 -18466.2211791934 19758.1113393098
"4.202381" 658.057003086937 -18609.9249653972 19926.0389715711
"4.208333" 747.732506418482 -18674.8151934685 20170.2802063055
"4.214286" 475.088010144638 -19100.8050517553 20050.9810720445
"4.220238" -2770.89496113412 -22498.9414733333 16957.1515510651
"4.226190" -1235.40247954521 -21114.4378989022 18643.6329398118
"4.232143" -2536.32304018034 -22565.2091604968 17492.5630801361
"4.238095" -2738.01515149802 -22915.6391255233 17439.6088225273
"4.244048" 88.4078636977957 -20236.8655478387 20413.6812752343
"4.250000" 965.513965215088 -19506.344017642 21437.3719480722
"4.255952" 3624.63357443702 -16992.7668263609 24242.033975235
"4.261905" 2498.74406756443 -18263.1785144938 23260.6666496226
"x"
"1" "======"
"x"
"1" "house: 1"
"Point.Forecast" "Lo.95" "Hi.95"
"3.839286" 101.465545558064 -467.809060516793 670.740151632921
"3.845238" 43.4249453333446 -663.382309374508 750.232200041198
"3.851190" 10.1510762332621 -811.481088116224 831.783240582748
"3.857143" 137.621647244397 -784.648558107369 1059.89185259616
"3.863095" 52.8424412187578 -960.116220260356 1065.80110269787
"3.869048" 64.0634363608479 -1032.1063351853 1160.23320790699
"3.875000" 121.052747728904 -1052.44249565195 1294.54799110976
"3.880952" -112.657841139197 -1358.6891426816 1133.37346040321
"3.886905" -312.147965247531 -1626.71896850655 1002.42303801149
"3.892857" -431.719282187184 -1811.42933897281 947.990774598444
"3.898810" -497.728191917339 -1939.63760619459 944.181222359913
"3.904762" -349.559657549077 -1851.09409843525 1151.97478333709
"3.910714" -282.836037212143 -1841.7165956108 1276.04452118651
"3.916667" 19.3137676347583 -1594.87690063813 1633.50443590765
"3.922619" 65.1222465390171 -1602.54511589428 1732.78960897232
"3.928571" 29.4689590243288 -1690.01275065194 1748.95066870059
"3.934524" 65.0164310610212 -1704.76329198283 1834.79615410488
"3.940476" -15.3428905161405 -1834.03010559276 1803.34432456048
"3.946429" 49.8714396161072 -1816.44206686374 1916.18494609596
"3.952381" 131.886181763226 -1780.868120978 2044.64048450445
"3.958333" 19.8397715346513 -1938.25418454638 1977.93372761568
"3.964286" 107.284366893042 -1895.12289913129 2109.69163291737
"3.970238" 98.4377399576549 -1947.32318869774 2144.19866861305
"3.976190" 9.78850593581944 -2078.42620893403 2098.00322080567
"3.982143" -35.7407865353563 -2165.56322363778 2094.08165056707
"3.988095" -240.014243142184 -2410.64699231255 1930.61850602818
"3.994048" -459.994376456784 -2670.6841896049 1750.69543669134
"4.000000" -459.319770219617 -2709.35362955215 1790.71408911291
"4.005952" -573.448679653765 -2862.15033918233 1715.2529798748
"4.011905" -508.49539355927 -2835.22232307093 1818.23153595239
"4.017857" -499.234826380501 -2863.37549958519 1864.90584682419
"4.023810" -588.583541226286 -2989.55501979214 1812.38793733957
"4.029762" -414.067069940754 -2851.31284315951 2023.178703278
"4.035714" -28.6956641991517 -2501.6837105226 2444.29238212429
"4.041667" 53.2616801602094 -2454.95936182246 2561.48272214288
"4.047619" 40.570929481998 -2502.39499904134 2583.53685800534
"4.053571" -370.289616663541 -2947.53206389596 2206.95283056888
"4.059524" -330.3161328951 -2941.38517641014 2280.75291061993
"4.065476" 48.1142453865959 -2596.34873756259 2692.57722833578
"4.071429" -233.835600085921 -2911.27605439568 2443.60485422384
"4.077381" -397.353323912961 -3107.36998521976 2312.66333739383
"4.083333" -30.3880484931189 -2772.5939530062 2711.81785601996
"4.089286" 23.3331529457029 -2750.68850178815 2797.35480767956
"4.095238" 142.39941393772 -2663.07720494869 2947.87603282413
"4.101190" 24.6435461492945 -2811.93925315417 2861.22634545276
"4.107143" -39.9421856350712 -2907.29373288042 2827.40936161027
"4.113095" 122.902131741568 -2774.89147955587 3020.695743039
"4.119048" 85.7703580942569 -2842.14882314388 3013.68953933239
"4.125000" 279.952412532976 -2677.78551535181 3237.69034041776
"4.130952" 355.757806801967 -2631.50123255738 3343.01684616132
"4.136905" 210.130791517661 -2806.36046264173 3226.62204567705
"4.142857" 139.291861754156 -2906.15102961749 3184.7347531258
"4.148810" -360.739126947204 -3434.86100527149 2713.38275137708
"4.154762" -607.351491641836 -3709.88726758029 2495.18428429662
"4.160714" -424.123981431364 -3554.81578343998 2706.56782057726
"4.166667" -457.076781126846 -3615.67363374194 2701.52007148824
"4.172619" -526.30577478881 -3712.56329663728 2659.95174705966
"4.178571" -374.071900474886 -3587.7520204809 2839.60821953113
"4.184524" -478.102564883975 -3718.97325528615 2762.7681255182
"4.190476" -390.167927482456 -3658.00295240245 2877.66709743753
"4.196429" 66.8483104277294 -3227.73036798925 3361.42698884471
"4.202381" -32.0066804044585 -3353.11366249127 3289.10030168235
"4.208333" 42.5259869450328 -3304.8990689228 3389.95104281286
"4.214286" -54.01545432045 -3427.55327430079 3319.52236565989
"4.220238" -533.461984479349 -3932.91199014551 2865.98802118681
"4.226190" -180.328737924934 -3605.49490312183 3244.83742727197
"4.232143" -418.342052454032 -3869.03273366491 3032.34862875685
"4.238095" -697.771625162737 -4173.79940059572 2778.25615027025
"4.244048" -166.266176764821 -3667.44769359133 3334.91534006168
"4.250000" 121.028366615934 -3405.12746260567 3647.18419583754
"4.255952" 610.865999385975 -2940.08849907489 4161.82049784684
"4.261905" 505.77670797562 -3069.80447112316 4081.3578870744
"x"
"1" "======"
"x"
"1" "house: 2"
"Point.Forecast" "Lo.95" "Hi.95"
"3.839286" 771.062560051601 -42.1709532546556 1584.29607335786
"3.845238" 682.015958251015 -282.089030536147 1646.12094703818
"3.851190" 527.323028481994 -567.048074775101 1621.69413173909
"3.857143" 723.171816488713 -487.529547962492 1933.87318093992
"3.863095" 584.053003079346 -732.741390941173 1900.84739709987
"3.869048" 578.044693183754 -836.910132372074 1992.99951873958
"3.875000" 602.106871527108 -904.626960509452 2108.84070356367
"3.880952" 335.060184779016 -1258.17442532818 1928.29479488621
