"Point.Forecast" "Lo.95" "Hi.95"
"25.70833" 2626.2909188168 2176.76210447166 3075.81973316194
"25.75000" 2594.48412864557 1977.31843829679 3211.64981899436
"25.79167" 2648.44456902681 1931.85961657781 3365.02952147582
"25.83333" 2643.77000401237 1852.8602236102 3434.67978441454
"25.87500" 2600.85459986176 1749.08419446653 3452.62500525698
"25.91667" 2605.24430215349 1747.28652163318 3463.20208267379
"25.95833" 2609.63400444521 1745.53315222742 3473.734856663
"26.00000" 2614.02370673694 1743.82314798528 3484.2242654886
"26.04167" 2618.41340902867 1742.1556033003 3494.67121475703
"26.08333" 2622.80311132039 1740.52964365401 3505.07657898678
"26.12500" 2627.19281361212 1738.94442414201 3515.44120308223
"26.16667" 2631.58251590385 1737.39912808878 3525.76590371892
"26.20833" 2635.97221819557 1735.89296574465 3536.0514706465
"26.25000" 2640.3619204873 1734.42517305909 3546.29866791551
"26.29167" 2644.75162277903 1732.99501052497 3556.50823503308
"26.33333" 2649.14132507075 1731.60176208877 3566.68088805274
"26.37500" 2653.53102736248 1730.24473412221 3576.81732060275
"26.41667" 2657.92072965421 1728.92325445121 3586.9182048572
"26.45833" 2662.31043194593 1727.63667143817 3596.9841924537
"26.50000" 2666.70013423766 1726.38435311416 3607.01591536116
"26.54167" 2671.08983652939 1725.16568635767 3617.01398670111
"26.58333" 2675.47953882111 1723.98007611697 3626.97900152526
"26.62500" 2679.86924111284 1722.8269446732 3636.91153755248
"26.66667" 2684.25894340457 1721.70573094167 3646.81215586746
"26.70833" 2688.64864569629 1720.61588980896 3656.68140158363
"26.75000" 2693.03834798802 1719.55689150361 3666.51980447243
"26.79167" 2697.42805027975 1718.52822099833 3676.32787956117
"26.83333" 2701.81775257147 1717.52937744182 3686.10612770113
"26.87500" 2706.2074548632 1716.55987361846 3695.85503610794
"26.91667" 2710.59715715493 1715.61923543417 3705.57507887568
"26.95833" 2714.98685944665 1714.70700142694 3715.26671746636
"27.00000" 2719.37656173838 1713.82272230057 3724.93040117619
"27.04167" 2723.76626403011 1712.96596048034 3734.56656757987
"27.08333" 2728.15596632183 1712.1362896893 3744.17564295437
"27.12500" 2732.54566861356 1711.33329454406 3753.75804268306
"27.16667" 2736.93537090529 1710.556570169 3763.31417164157
"27.20833" 2741.32507319701 1709.80572182786 3772.84442456617
"27.25000" 2745.71477548874 1709.08036457175 3782.34918640573
"27.29167" 2750.10447778047 1708.38012290275 3791.82883265819
"27.33333" 2754.49418007219 1707.70463045222 3801.28372969217
"27.37500" 2758.88388236392 1707.05352967306 3810.71423505478
"27.41667" 2763.27358465565 1706.42647154517 3820.12069776613
"27.45833" 2767.66328694737 1705.8231152934 3829.50345860135
"27.50000" 2772.0529892391 1705.24312811748 3838.86285036072
"27.54167" 2776.44269153083 1704.68618493313 3848.19919812853
"27.58333" 2780.83239382255 1704.15196812387 3857.51281952123
"27.62500" 2785.22209611428 1703.64016730312 3866.80402492544
"27.66667" 2789.61179840601 1703.15047908577 3876.07311772624
"27.70833" 2794.00150069773 1702.68260686915 3885.32039452632
"27.75000" 2798.39120298946 1702.23626062254 3894.54614535638
"27.79167" 2802.78090528119 1701.81115668515 3903.75065387722
"27.83333" 2807.17060757291 1701.40701757196 3912.93419757387
"27.87500" 2811.56030986464 1701.02357178707 3922.09704794222
"27.91667" 2815.95001215637 1700.66055364429 3931.23947066845
"27.95833" 2820.33971444809 1700.31770309459 3940.3617258016
"28.00000" 2824.72941673982 1699.99476556003 3949.46406791962
"28.04167" 2829.11911903155 1699.69149177396 3958.54674628914
"28.08333" 2833.50882132327 1699.40763762717 3967.61000501938
"28.12500" 2837.898523615 1699.14296401975 3976.65408321025
"28.16667" 2842.28822590673 1698.89723671831 3985.67921509515
"28.20833" 2846.67792819845 1698.67022621843 3994.68563017848
"28.25000" 2851.06763049018 1698.4617076121 4003.67355336826
"28.29167" 2855.45733278191 1698.27146045983 4012.64320510399
"28.33333" 2859.84703507364 1698.09926866734 4021.59480147993
"28.37500" 2864.23673736536 1697.94492036664 4030.52855436409
"28.41667" 2868.62643965709 1697.8082078011 4039.44467151307
"28.45833" 2873.01614194882 1697.68892721474 4048.34335668289
"28.50000" 2877.40584424054 1697.5868787451 4057.22480973599
"28.54167" 2881.79554653227 1697.50186631991 4066.08922674462
"28.58333" 2886.185248824 1697.43369755724 4074.93680009075
"28.62500" 2890.57495111572 1697.38218366895 4083.7677185625
"28.66667" 2894.96465340745 1697.3471393674 4092.5821674475
"28.70833" 2899.35435569918 1697.32838277527 4101.38032862308
"28.75000" 2903.7440579909 1697.32573533833 4110.16238064347
"28.79167" 2908.13376028263 1697.33902174103 4118.92849882423
"28.83333" 2912.52346257436 1697.36806982485 4127.67885532386
"28.87500" 2916.91316486608 1697.4127105093 4136.41361922286
"28.91667" 2921.30286715781 1697.47277771541 4145.1329566002
"28.95833" 2925.69256944954 1697.54810829166 4153.83703060741
"29.00000" 2930.08227174126 1697.63854194223 4162.52600154029
"29.04167" 2934.47197403299 1697.74392115753 4171.20002690845
"29.08333" 2938.86167632472 1697.86409114684 4179.85926150259
"29.12500" 2943.25137861644 1697.99889977309 4188.50385745979
"29.16667" 2947.64108090817 1698.14819748959 4197.13396432675
"29.20833" 2952.0307831999 1698.31183727865 4205.74972912114
"29.25000" 2956.42048549162 1698.48967459221 4214.35129639104
"29.29167" 2960.81018778335 1698.68156729404 4222.93880827266
"29.33333" 2965.19989007508 1698.88737560386 4231.5124045463
"29.37500" 2969.5895923668 1699.10696204295 4240.07222269065
"29.41667" 2973.97929465853 1699.34019138153 4248.61839793553
"29.45833" 2978.36899695026 1699.58693058751 4257.151063313
"29.50000" 2982.75869924198 1699.84704877686 4265.67034970711
"29.54167" 2987.14840153371 1700.12041716533 4274.17638590209
"29.58333" 2991.53810382544 1700.40690902162 4282.66929862925
"29.62500" 2995.92780611716 1700.70639962184 4291.14921261248
"29.66667" 3000.31750840889 1701.01876620528 4299.6162506125
"29.70833" 3004.70721070062 1701.34388793137 4308.07053346986
"29.75000" 3009.09691299234 1701.681645838 4316.51218014669
"29.79167" 3013.48661528407 1702.03192280078 4324.94130776736
"29.83333" 3017.8763175758 1702.3946034936 4333.35803165799
"x"
"1" "============================"
"Point.Forecast" "Lo.95" "Hi.95"
"25.70833" 583.478479001498 502.418708807987 664.53824919501
"25.75000" 578.449882664731 465.404074664626 691.495690664835
"25.79167" 594.357269962319 460.558413633522 728.156126291117
"25.83333" 594.544823526374 443.607567705842 745.482079346906
"25.87500" 584.575647659479 418.907830621469 750.243464697489
"25.91667" 585.562546566238 417.802393149812 753.322699982665
"25.95833" 586.549445472997 416.722732184227 756.376158761768
"26.00000" 587.536344379756 415.667917905812 759.404770853701
"26.04167" 588.523243286515 414.637075087912 762.409411485119
"26.08333" 589.510142193275 413.629378711431 765.390905675118
"26.12500" 590.497041100034 412.644050022798 768.35003217727
"26.16667" 591.483940006793 411.680352981164 771.287527032422
"26.20833" 592.470838913552 410.73759104887 774.204086778234
"26.25000" 593.457737820311 409.815104285477 777.100371355145
"26.29167" 594.44463672707 408.91226671102 779.977006743121
"26.33333" 595.431535633829 408.028483908581 782.834587359078
"26.37500" 596.418434540588 407.163190840184 785.673678240993
"26.41667" 597.405333447348 406.31584985324 788.494817041455
"26.45833" 598.392232354107 405.485948857622 791.298515850591
"26.50000" 599.379131260866 404.672999655851 794.085262865881
"26.54167" 600.366030167625 403.876536410955 796.855523924295
"26.58333" 601.352929074384 403.096114238384 799.609743910384
"26.62500" 602.339827981143 402.331307909924 802.348348052362
"26.66667" 603.326726887902 401.581710658895 805.07174311691
"26.70833" 604.313625794661 400.846933077141 807.780318512182
"26.75000" 605.300524701421 400.126602095332 810.474447307509
"26.79167" 606.28742360818 399.420360039006 813.154487177353
"26.83333" 607.274322514939 398.727863753598 815.82078127628
"26.87500" 608.261221421698 398.048783792382 818.473659051014
"26.91667" 609.248120328457 397.382803661895 821.113436995019
"26.95833" 610.235019235216 396.729619119936 823.740419350496
"27.00000" 611.221918141975 396.088937521734 826.354898762216
"27.04167" 612.208817048734 395.460477210312 828.957156887157
"27.08333" 613.195715955493 394.843966947441 831.547464963546
"27.12500" 614.182614862253 394.239145381936 834.126084342569
"27.16667" 615.169513769012 393.645760552337 836.693266985687
"27.20833" 616.156412675771 393.063569421296 839.249255930246
"27.25000" 617.14331158253 392.492337439241 841.794285725819
"27.29167" 618.130210489289 391.931838135083 844.328582843495
"27.33333" 619.117109396048 391.381852731966 846.852366060131
"27.37500" 620.104008302807 390.842169786192 849.365846819423
"27.41667" 621.090907209566 390.312584847647 851.869229571486
"27.45833" 622.077806116326 389.792900140183 854.362712092468
"27.50000" 623.064705023085 389.282924260535 856.846485785634
