"Point.Forecast" "Lo.95" "Hi.95"
"25.70833" 2622.04971120786 2114.12663739126 3129.97278502447
"25.75000" 2628.32747629844 1918.62546553042 3338.02948706646
"25.79167" 2634.05940805569 1768.39894386604 3499.71987224534
"25.83333" 2640.4196939796 1642.89318584365 3637.94620211555
"25.87500" 2647.34366740352 1533.45398273687 3761.23335207017
"25.91667" 2651.6589949941 1432.46199500614 3870.85599498205
"25.95833" 2655.60492675134 1339.49990816335 3971.70994533933
"26.00000" 2656.64160850859 1250.29047343408 4062.9927435831
"26.04167" 2657.45424859917 1166.30884646756 4148.59965073077
"26.08333" 2658.32657618975 1086.95593071138 4229.69722166811
"26.12500" 2659.24219544699 1011.54780611262 4306.93658478136
"26.16667" 2660.21248137091 939.576582693669 4380.84838004814
"26.20833" 2661.29607979482 870.687526539896 4451.90463304974
"26.25000" 2662.53007405207 804.582258271829 4520.4778898323
"26.29167" 2664.24685997598 741.316496875063 4587.17722307689
"26.33333" 2666.11193756656 680.324366725135 4651.89950840798
"26.37500" 2667.92147349047 621.206209541636 4714.63673743931
"26.41667" 2669.16294691438 563.282022727545 4775.04387110122
"26.45833" 2671.51919117163 508.090070070854 4834.94831227241
"26.50000" 2677.65624792888 458.170573904431 4897.14192195332
"26.54167" 2683.20615885279 409.045269123877 4957.36704858171
"26.58333" 2686.9410697767 359.388954883144 5014.49318467026
"26.62500" 2691.29479320062 311.549020493301 5071.04056590794
"26.66667" 2697.4207457912 266.60174021073 5128.23975137166
"26.70833" 2703.58207338178 222.741060123556 5184.42308664
"26.75000" 2709.85983847236 179.985685824256 5239.73399112046
"26.79167" 2715.5917702296 137.616920971021 5293.56661948819
"26.83333" 2721.95205615352 96.7576979044616 5347.14641440257
"26.87500" 2728.87602957743 57.2966252258507 5400.45543392901
"26.91667" 2733.19135716801 16.0186337423511 5450.36408059367
"26.95833" 2737.13728892525 -24.8762345936411 5499.15081244415
"27.00000" 2738.1739706825 -67.9639089082598 5544.31185027326
"27.04167" 2738.98661077308 -110.592462431767 5588.56568397793
"27.08333" 2739.85893836366 -152.508947922568 5632.22682464989
"27.12500" 2740.77455762091 -193.758298694172 5675.30741393598
"27.16667" 2741.74484354482 -234.355655424527 5717.84534251417
"27.20833" 2742.82844196873 -274.267061183009 5759.92394512047
"27.25000" 2744.06243622598 -313.478466249624 5801.60333870158
"27.29167" 2745.77922214989 -351.679004442388 5843.23744874217
"27.33333" 2747.64429974047 -389.223335442283 5884.51193492323
"27.37500" 2749.45383566438 -426.334201316346 5925.24187264512
"27.41667" 2750.6953090883 -463.541886733254 5964.93250490985
"27.45833" 2753.05155334554 -499.180272059227 6005.28337875032
"27.50000" 2759.18861010279 -530.599064101811 6048.97628430739
"27.54167" 2764.73852102671 -562.181080725249 6091.65812277866
"27.58333" 2768.47343195062 -595.168215385534 6132.11507928677
"27.62500" 2772.82715537453 -627.139936652555 6172.79424740162
"27.66667" 2778.95310796511 -656.955406829773 6214.86162275999
"27.70833" 2785.11443555569 -686.363407843696 6256.59227895507
"27.75000" 2791.39220064627 -715.294199986914 6298.07860127945
"27.79167" 2797.12413240352 -744.420814022913 6338.66907882994
"27.83333" 2803.48441832743 -772.579297929797 6379.54813458466
"27.87500" 2810.40839175134 -799.84406450491 6420.6608480076
"27.91667" 2814.72371934192 -829.396736004906 6458.84417468875
"27.95833" 2818.66965109917 -859.006923621622 6496.34622581996
"28.00000" 2819.70633285641 -891.22294205882 6530.63560777165
"28.04167" 2820.51897294699 -923.367667777558 6564.40561367154
"28.08333" 2821.39130053757 -955.165103618021 6597.94770469317
"28.12500" 2822.30691979482 -986.639045815811 6631.25288540545
"28.16667" 2823.27720571873 -1017.78520774377 6664.33961918123
"28.20833" 2824.36080414265 -1048.551738026 6697.27334631129
"28.25000" 2825.59479839989 -1078.90807065528 6730.09766745507
"28.29167" 2827.3115843238 -1108.52806556451 6763.15123421212
"28.33333" 2829.17666191439 -1137.75223142437 6796.10555525314
"28.37500" 2830.9861978383 -1166.79017659521 6828.7625722718
"28.41667" 2832.22767126221 -1196.15997581839 6860.61531834281
"28.45833" 2834.58391551946 -1224.18414022411 6893.35197126303
"28.50000" 2840.7209722767 -1248.20177405848 6929.64371861189
"28.54167" 2846.27088320062 -1272.58579319274 6965.12755959398
"28.58333" 2850.00579412453 -1298.56883047161 6998.58041872067
"28.62500" 2854.35951754844 -1323.72168211916 7032.44071721605
"28.66667" 2860.48547013902 -1346.89537858251 7067.86631886056
"28.70833" 2866.6467977296 -1369.83106735616 7103.12466281536
"28.75000" 2872.92456282018 -1392.45183282587 7138.30095846623
"28.79167" 2878.65649457743 -1415.42395316774 7172.7369423226
"28.83333" 2885.01678050134 -1437.57711516827 7207.61067617096
"28.87500" 2891.94075392526 -1458.97973282845 7242.86124067896
"28.91667" 2896.25608151583 -1482.80776561245 7275.31992864412
"28.95833" 2900.20201327308 -1506.82547386593 7307.22950041209
"29.00000" 2901.23869503033 -1533.57611142683 7336.05350148749
"29.04167" 2902.05133512091 -1560.37776378302 7364.48043402484
"29.08333" 2902.92366271149 -1586.94989429626 7392.79721971923
"29.12500" 2903.83928196873 -1613.31199434362 7420.99055828108
"29.16667" 2904.80956789264 -1639.45569155944 7449.07482734473
"29.20833" 2905.89316631656 -1665.32525369314 7477.11158632626
"29.25000" 2907.12716057381 -1690.88642559673 7505.14074674434
"29.29167" 2908.84394649772 -1715.80955768849 7533.49745068392
"29.33333" 2910.7090240883 -1740.43181757137 7561.84986574796
"29.37500" 2912.51856001221 -1764.95963065073 7589.99675067515
"29.41667" 2913.76003343612 -1789.9080372615 7617.42810413375
"29.45833" 2916.11627769337 -1813.59665381454 7645.82920920129
"29.50000" 2922.25333445062 -1833.36182130432 7677.86849020555
"29.54167" 2927.80324537453 -1853.57381618618 7709.18030693524
"29.58333" 2931.53815629844 -1875.46274863093 7738.53906122781
"29.62500" 2935.89187972236 -1896.59700233052 7768.38076177523
"29.66667" 2942.01783231294 -1915.82529919486 7799.86096382074
"29.70833" 2948.17915990351 -1934.88657644597 7831.244896253
"29.75000" 2954.45692499409 -1953.70180111524 7862.61565110343
"29.79167" 2960.18885675134 -1972.93522194931 7893.31293545199
"29.83333" 2966.54914267526 -1991.41457956284 7924.51286491335
"x"
"1" "============================"
"Point.Forecast" "Lo.95" "Hi.95"
"25.70833" 583.769703541576 491.125157395925 676.414249687227
"25.75000" 584.939494266214 454.872062958302 715.006925574125
"25.79167" 586.014743324184 427.105771130847 744.923715517522
"25.83333" 587.168221548822 403.901786542169 770.434656555475
"25.87500" 588.41219977346 383.665744476787 793.158655070132
"25.91667" 589.190240498098 365.012552685378 813.367928310817
